distance,consume,speed,temp_inside,temp_outside,gas_type,ac,rain,sun
28.0,5.0,26.0,21.5,12,E10,0,0,0
12.0,4.2,30.0,21.5,13,E10,0,0,0
11.2,5.5,38.0,21.5,15,E10,0,0,0
12.9,3.9,36.0,21.5,14,E10,0,0,0
18.5,4.5,46.0,21.5,15,E10,0,0,0
8.3,6.4,50.0,21.5,10,E10,0,0,0
7.8,4.4,43.0,21.5,11,E10,0,0,0
12.3,5.0,40.0,21.5,6,E10,0,0,0
4.9,6.4,26.0,21.5,4,E10,0,0,0
11.9,5.3,30.0,21.5,9,E10,0,0,0
12.4,5.6,42.0,21.5,4,E10,0,0,0
11.8,4.6,38.0,21.5,0,E10,0,0,0
12.3,5.9,59.0,21.5,10,E10,0,0,0
24.7,5.1,58.0,21.5,12,E10,0,0,0
12.4,4.7,46.0,21.5,11,E10,0,0,0
17.3,5.1,24.0,21.5,5,E10,0,0,0
33.4,5.6,36.0,21.5,3,E10,0,0,0
11.8,5.1,32.0,21.5,3,E10,0,0,0
25.9,4.9,39.0,21.5,8,E10,0,0,0
11.8,4.7,40.0,21.5,4,E10,0,0,0
25.3,5.5,32.0,21.5,3,E10,0,0,0
14.2,5.9,38.0,21.5,1,E10,0,0,0
17.9,5.7,37.0,21.5,1,E10,0,0,0
11.8,4.7,36.0,21.5,1,E10,0,0,0
12.3,5.9,62.0,21.5,6,E10,0,0,0
12.4,4.1,57.0,21.5,9,E10,0,0,0
18.4,5.7,21.0,22.5,2,E10,0,0,0
18.4,5.8,28.0,21.5,3,E10,0,0,0
18.3,5.5,29.0,21.5,1,E10,0,0,0
18.4,5.7,35.0,21.5,4,E10,0,0,0
12.3,5.3,51.0,21.5,11,E10,0,0,0
11.8,5.0,29.0,21.5,10,E10,0,0,0
12.3,5.6,58.0,21.5,8,E10,0,0,0
32.6,4.8,40.0,21.5,7,E10,0,0,0
19.0,4.3,36.0,21.5,7,E10,0,0,0
12.1,5.7,36.0,21.5,8,E10,0,0,0
20.0,5.2,37.0,21.5,4,E10,0,0,0
4.9,7.4,26.0,21.5,6,E10,0,0,0
11.8,4.8,23.0,21.5,9,E10,0,0,0
12.3,6.5,58.0,21.5,7,E10,0,0,0
12.4,4.0,55.0,21.5,7,E10,1,1,0
4.5,5.0,29.0,21.5,7,E10,1,0,0
11.7,4.6,37.0,21.5,6,E10,0,0,0
10.2,4.3,44.0,21.5,7,E10,0,0,0
5.4,3.3,32.0,21.5,7,SP98,0,0,0
2.0,9.9,21.0,21.5,4,SP98,0,0,0
14.2,5.1,32.0,21.5,7,SP98,0,0,0
16.0,4.9,25.0,21.5,8,SP98,0,0,0
11.8,4.9,25.0,21.5,11,SP98,0,0,0
27.3,4.7,36.0,21.5,10,SP98,0,0,0
11.8,5.1,29.0,21.5,5,SP98,0,1,0
10.6,4.9,63.0,21.5,6,SP98,0,0,0
11.6,4.2,61.0,21.5,7,SP98,0,0,0
13.1,6.1,46.0,21.5,6,SP98,0,1,0
6.1,6.4,28.0,21.5,8,SP98,0,0,0
153.5,4.9,82.0,21.5,3,SP98,0,1,0
11.8,4.9,24.0,21.5,7,SP98,0,0,0
12.3,6.2,61.0,21.5,8,SP98,0,0,0
12.4,4.2,57.0,21.5,8,SP98,0,0,0
12.3,5.7,52.0,21.5,8,SP98,0,1,0
2.9,7.9,18.0,21.5,9,SP98,1,1,0
2.1,12.2,23.0,21.5,9,SP98,1,1,0
9.8,5.8,24.0,21.5,6,SP98,0,0,0
6.8,5.3,26.0,21.5,6,SP98,0,0,0
12.4,5.4,24.0,21.5,7,SP98,0,0,0
12.4,4.7,57.0,21.5,8,SP98,0,0,0
11.8,4.6,41.0,21.5,6,SP98,0,0,0
12.3,5.4,55.0,21.5,8,SP98,0,0,0
14.0,4.3,40.0,21.5,8,SP98,0,0,0
11.8,4.5,37.0,21.5,4,SP98,1,0,0
12.3,5.2,55.0,21.5,12,SP98,0,0,0
2.0,6.2,20.0,21.5,10,SP98,0,0,0
13.9,5.1,29.0,21.5,6,SP98,0,0,0
9.7,3.9,42.0,21.5,8,SP98,0,0,0
11.6,5.0,25.0,21.5,6,SP98,0,0,0
14.2,5.4,38.0,21.5,7,SP98,0,0,0
11.8,4.5,39.0,21.5,6,SP98,0,0,0
24.8,5.1,50.0,21.5,9,SP98,0,0,0
12.4,4.7,56.0,21.5,7,SP98,0,0,0
34.8,4.0,28.0,20.0,4,SP98,0,0,0
14.2,5.4,36.0,20.0,6,SP98,0,0,0
5.2,4.5,39.0,20.0,10,SP98,0,0,0
10.5,3.6,42.0,20.0,10,SP98,0,0,0
12.3,5.2,57.0,20.0,10,SP98,0,0,0
11.8,4.9,25.0,20.0,11,SP98,0,0,0
12.3,6.2,58.0,20.0,11,SP98,0,1,0
13.2,4.3,51.0,20.0,11,SP98,0,1,0
13.0,5.0,45.0,20.0,11,SP98,0,1,0
12.9,5.1,32.0,20.0,11,SP98,0,0,0
13.9,5.6,22.0,20.0,8,SP98,0,0,0
11.8,4.3,37.0,20.0,6,SP98,0,0,0
12.2,5.8,60.0,20.0,11,SP98,0,0,0
12.5,4.0,51.0,20.0,13,SP98,0,0,0
11.8,5.9,21.0,20.0,9,SP98,1,1,0
12.5,4.2,57.0,20.0,11,SP98,0,0,0
26.2,5.8,71.0,21.0,8,SP98,1,1,0
4.9,6.9,25.0,21.0,12,SP98,0,1,0
12.4,5.4,18.0,21.0,11,SP98,1,1,0
22.9,5.3,45.0,20.5,7,SP98,0,0,0
162.7,5.5,75.0,23.0,1,SP98,0,0,0
4.9,6.5,26.0,21.0,1,SP98,0,0,0
11.8,4.7,36.0,21.0,4,SP98,0,0,0
16.6,5.1,56.0,21.0,7,SP98,0,0,0
12.4,5.7,37.0,21.0,7,SP98,0,0,0
15.9,5.4,25.0,21.0,7,SP98,0,0,0
5.1,8.7,21.0,23.5,5,SP98,0,0,0
22.4,4.9,66.0,20.5,7,SP98,0,0,0
31.1,4.7,42.0,20.5,7,SP98,0,0,0
4.9,6.3,27.0,20.5,3,SP98,0,0,0
11.8,5.1,26.0,23.0,4,SP98,0,1,0
22.9,6.0,42.0,23.0,4,SP98,0,1,0
12.4,4.6,38.0,23.0,1,SP98,0,1,0
12.9,5.8,40.0,23.0,4,SP98,0,0,0
11.8,5.1,43.0,23.0,0,SP98,0,0,0
12.2,5.8,58.0,23.0,2,SP98,0,0,0
24.8,4.6,55.0,23.0,3,SP98,0,0,0
14.2,5.6,24.0,23.0,8,SP98,0,0,0
11.8,4.6,38.0,23.0,0,SP98,0,1,0
12.2,6.3,57.0,23.0,0,SP98,0,1,0
24.7,5.5,56.0,25.0,1,SP98,0,0,0
6.8,4.3,46.0,24.0,2,SP98,0,0,0
17.3,5.6,37.0,21.5,1,SP98,0,0,0
11.8,4.3,44.0,21.5,-3,SP98,0,0,0
15.9,5.7,46.0,21.5,5,SP98,0,0,0
5.1,6.4,39.0,21.5,4,SP98,0,0,0
16.1,4.5,33.0,21.5,6,SP98,0,0,0
11.8,4.5,43.0,21.5,3,SP98,0,0,0
4.2,6.0,26.0,21.5,5,SP98,0,0,0
17.4,5.1,30.0,21.5,5,SP98,0,0,0
23.5,6.0,25.0,21.5,5,SP98,0,1,0
11.8,4.5,38.0,21.5,5,SP98,0,1,0
12.3,6.1,61.0,21.5,10,SP98,0,1,0
16.1,5.4,24.0,21.5,7,E10,0,1,0
11.8,4.3,40.0,21.5,10,E10,0,1,0
12.3,5.4,58.0,21.5,13,E10,0,0,0
12.4,4.3,49.0,21.5,17,E10,0,0,0
7.0,5.2,25.0,21.5,17,E10,0,0,0
11.8,4.1,37.0,21.5,10,E10,0,0,0
20.1,4.4,41.0,21.5,18,E10,0,0,0
20.8,4.5,45.0,21.5,10,E10,0,0,0
1.7,10.8,14.0,21.5,10,E10,0,1,0
35.9,4.7,45.0,21.5,12,E10,0,0,0
36.9,4.8,52.0,21.5,5,E10,0,0,0
16.8,4.0,46.0,21.5,8,E10,0,0,0
9.9,5.0,28.0,21.5,9,E10,0,0,0
22.9,4.6,61.0,21.5,7,E10,0,1,0
17.3,5.0,61.0,21.5,6,E10,1,1,0
11.8,4.3,37.0,21.5,7,E10,0,0,0
36.6,5.2,80.0,21.5,7,E10,0,1,0
44.9,4.7,62.0,21.5,8,E10,0,0,0
11.8,4.2,34.0,21.5,9,E10,0,1,0
21.6,5.3,44.0,21.5,9,E10,0,1,0
39.4,5.3,60.0,21.5,9,E10,0,1,0
5.1,8.1,39.0,21.5,4,E10,0,0,0
26.6,4.8,38.0,21.5,7,E10,0,0,0
53.2,5.1,71.0,21.5,2,E10,0,0,0
18.9,4.4,53.0,21.5,2,E10,0,0,0
43.5,5.0,80.0,21.5,3,E10,0,0,0
6.1,6.3,26.0,21.5,5,E10,0,0,0
16.4,4.8,49.0,21.5,5,E10,0,0,0
12.3,6.1,40.0,21.5,6,E10,0,0,0
21.1,4.6,36.0,21.5,8,E10,0,0,0
21.1,4.8,43.0,21.5,7,E10,0,0,0
22.7,4.7,55.0,21.5,6,E10,0,0,0
44.4,4.8,38.0,21.5,8,E10,0,0,0
35.8,4.4,51.0,21.5,6,E10,0,0,0
11.8,4.9,44.0,21.5,0,E10,0,0,0
26.2,4.9,42.0,21.5,6,E10,0,0,0
40.6,4.4,44.0,21.0,3,E10,0,0,0
12.4,5.3,38.0,21.0,-5,E10,0,0,0
14.1,5.3,47.0,21.0,-3,E10,0,0,0
58.7,4.8,75.0,21.0,0,E10,0,0,0
16.2,5.2,29.0,21.0,0,E10,0,0,0
12.3,4.9,50.0,22.5,0,E10,0,0,0
12.3,7.1,52.0,22.5,0,E10,1,1,0
12.4,5.2,51.0,22.5,1,E10,0,0,0
31.8,4.7,59.0,22.5,3,E10,0,0,0
12.3,5.1,55.0,22.5,8,E10,0,0,0
51.6,5.0,73.0,22.5,12,E10,0,0,0
38.6,4.6,44.0,22.5,10,E10,0,0,0
12.3,4.8,41.0,22.5,7,E10,0,0,0
81.2,4.4,69.0,22.0,13,E10,0,0,0
130.3,4.6,85.0,22.0,12,E10,0,0,0
67.2,4.3,67.0,22.0,18,E10,0,0,0
43.7,4.7,44.0,22.0,9,SP98,0,1,0
12.1,4.2,43.0,22.0,4,SP98,0,0,0
56.1,4.8,82.0,22.0,13,SP98,0,0,0
39.0,4.1,61.0,22.0,16,SP98,0,0,0
11.8,4.5,41.0,21.5,13,SP98,0,0,0
38.5,4.8,63.0,21.5,14,SP98,0,0,0
28.2,4.6,54.0,21.5,14,SP98,0,0,0
2.9,7.4,24.0,21.5,14,SP98,0,0,0
6.1,5.6,24.0,21.5,13,SP98,0,0,0
19.6,4.9,43.0,21.5,13,SP98,0,0,0
13.6,4.5,44.0,19.0,18,SP98,0,0,0
8.7,5.3,28.0,22.5,12,SP98,1,1,0
7.9,4.7,31.0,22.5,12,SP98,1,0,0
2.4,9.0,26.0,20.0,10,SP98,0,0,0
4.9,6.3,26.0,20.0,10,SP98,0,0,0
18.1,3.6,36.0,20.0,19,SP98,0,0,0
25.9,3.7,39.0,20.0,21,SP98,0,0,0
1.3,11.5,21.0,20.0,10,SP98,0,0,0
14.1,5.0,22.0,20.0,12,SP98,0,0,0
13.4,5.5,31.0,20.0,9,SP98,0,0,0
6.4,4.7,33.0,20.0,8,SP98,0,0,0
12.9,4.5,42.0,20.0,13,SP98,0,0,0
12.1,4.4,33.0,22.5,5,SP98,0,0,0
15.7,4.1,32.0,22.5,13,SP98,0,0,0
16.2,4.4,26.0,22.5,11,SP98,0,0,0
12.8,4.6,22.0,22.5,12,SP98,0,0,0
19.0,4.4,58.0,22.5,17,SP98,0,0,1
29.0,4.0,27.0,22.5,12,SP98,0,0,0
12.1,5.0,32.0,22.5,9,SP98,0,0,0
12.3,5.2,55.0,22.5,10,SP98,0,0,0
24.8,4.0,56.0,22.5,11,SP98,0,0,0
12.9,5.1,34.0,22.5,8,SP98,0,1,0
11.8,4.5,39.0,22.5,3,SP98,0,0,0
31.4,4.6,62.0,22.5,11,SP98,0,0,0
19.0,5.1,53.0,22.5,4,SP98,0,1,0
13.0,5.7,38.0,22.5,3,SP98,1,1,0
11.8,4.8,42.0,22.5,2,SP98,0,0,0
13.0,6.2,32.0,22.5,4,SP98,0,0,0
11.8,5.0,43.0,22.5,1,SP98,0,0,0
27.1,5.0,69.0,22.5,8,SP98,0,0,0
5.2,4.6,38.0,22.5,8,SP98,0,0,0
19.0,4.5,29.0,22.5,10,E10,0,0,0
12.4,4.8,38.0,22.5,1,E10,0,0,0
25.2,5.0,55.0,22.5,9,E10,0,0,0
14.3,4.8,36.0,22.5,10,E10,0,0,0
11.8,4.6,40.0,22.5,2,E10,0,0,0
16.9,4.5,48.0,22.5,9,E10,0,0,1
12.4,4.6,55.0,22.5,11,E10,0,0,1
17.4,4.4,36.0,22.5,12,E10,0,0,1
9.2,5.7,33.0,22.5,8,E10,0,1,0
12.3,5.8,54.0,22.5,10,E10,0,1,0
13.0,5.9,32.0,22.5,10,E10,0,0,0
11.8,6.1,16.0,22.5,6,E10,0,1,0
13.0,5.7,37.0,22.5,11,E10,0,1,0
12.3,5.0,42.0,22.5,10,E10,0,0,0
12.3,5.2,57.0,22.5,15,E10,0,0,1
12.5,4.3,57.0,22.5,16,E10,0,0,1
31.5,4.1,30.0,22.5,16,E10,0,0,1
11.8,4.4,42.0,22.5,8,E10,0,0,0
24.9,4.5,53.0,22.5,14,E10,0,0,0
17.0,3.9,46.0,22.5,14,E10,0,0,1
2.0,8.1,20.0,22.5,14,E10,0,0,0
11.8,4.4,33.0,22.5,8,E10,0,0,0
7.4,5.0,31.0,22.5,12,E10,0,0,0
12.4,4.7,55.0,22.5,14,E10,0,0,1
2.0,6.0,22.0,22.5,14,E10,0,0,0
14.0,5.0,41.0,22.5,8,E10,0,0,0
25.7,5.0,45.0,22.5,7,E10,0,0,0
11.8,4.5,28.0,22.5,12,E10,0,0,0
4.1,5.4,24.0,22.5,13,E10,0,0,0
4.2,5.6,29.0,22.0,17,E10,0,0,0
4.2,3.9,29.0,22.0,18,E10,0,0,1
16.0,4.0,40.0,22.0,10,E10,0,0,0
15.4,4.5,50.0,22.0,14,E10,0,0,0
16.0,3.8,41.0,22.0,12,E10,0,0,0
4.2,5.6,32.0,22.0,18,E10,0,0,0
101.9,5.2,75.0,22.0,18,E10,0,0,0
93.9,4.8,88.0,23.0,18,E10,1,0,1
25.7,4.9,50.0,22.0,10,SP98,0,1,0
16.0,4.1,40.0,22.0,10,SP98,0,0,0
16.1,4.5,32.0,22.0,19,SP98,0,0,0
16.0,4.4,40.0,22.0,7,SP98,1,1,0
16.0,4.5,41.0,22.0,11,SP98,0,0,0
24.7,4.5,26.0,22.0,10,SP98,0,0,0
16.0,3.9,42.0,22.0,8,SP98,0,0,0
15.4,4.6,43.0,22.0,16,SP98,0,0,0
16.0,3.8,40.0,22.0,8,SP98,0,0,0
32.1,4.5,50.0,22.0,16,SP98,0,0,0
25.9,4.4,40.0,22.0,14,SP98,0,0,0
48.6,4.3,44.0,22.0,12,SP98,0,0,0
37.2,4.0,45.0,22.0,20,SP98,0,0,1
28.8,3.9,35.0,22.0,15,SP98,0,0,1
6.7,5.0,30.0,22.0,17,SP98,0,0,0
7.4,4.1,25.0,22.0,18,SP98,0,0,1
17.3,4.1,22.0,22.0,25,SP98,0,0,1
6.6,5.6,43.0,22.0,16,SP98,0,0,0
14.3,4.1,26.0,22.0,20,SP98,0,0,0
13.3,4.6,33.0,22.0,18,SP98,0,0,0
8.3,4.9,26.0,22.0,23,SP98,0,0,0
12.7,4.5,39.0,22.0,27,SP98,0,0,1
16.5,4.1,47.0,22.0,14,SP98,0,0,0
20.6,4.1,38.0,22.0,21,SP98,0,0,0
16.3,4.5,58.0,22.0,16,SP98,0,0,0
18.7,4.2,65.0,25.0,18,SP98,1,0,1
36.5,3.9,54.0,23.0,18,SP98,0,0,1
19.0,5.0,35.0,22.0,15,SP98,1,0,1
16.6,4.4,46.0,22.0,5,SP98,1,0,0
29.9,4.5,32.0,22.0,18,SP98,1,0,0
16.0,3.8,42.0,22.0,11,SP98,0,0,0
21.1,5.1,33.0,22.0,10,SP98,0,1,0
16.0,3.9,40.0,22.0,10,SP98,0,0,0
11.9,5.3,34.0,22.0,13,SP98,0,0,0
10.1,4.2,35.0,22.0,16,SP98,0,0,0
31.9,4.3,33.0,22.0,16,SP98,0,0,0
18.7,4.0,60.0,22.0,13,SP98,0,0,0
10.8,4.7,48.0,22.0,17,SP98,0,0,1
19.8,4.0,56.0,22.0,17,SP98,0,0,1
11.3,4.3,38.0,22.0,17,SP98,0,0,0
11.5,5.3,53.0,22.0,15,SP98,0,0,0
21.4,5.2,51.0,22.0,13,SP98,0,0,0
32.0,4.9,53.0,22.0,15,SP98,0,0,0
41.9,4.7,53.0,22.0,14,SP98,0,0,0
211.0,4.6,80.0,22.0,20,SP98,0,0,0
216.1,5.3,90.0,22.0,21,SP98,0,0,1
25.5,3.6,27.0,22.0,27,SP98,0,0,1
16.6,4.2,52.0,22.0,15,SP98,0,1,0
25.9,4.1,43.0,22.0,24,SP98,0,0,0
16.5,4.0,48.0,22.0,15,SP98,0,0,0
22.1,3.9,29.0,22.0,26,SP98,0,0,0
16.6,3.7,49.0,22.0,17,E10,0,0,0
15.4,4.5,43.0,22.0,24,E10,0,0,0
16.5,3.9,43.0,22.0,17,E10,0,0,0
15.4,5.1,21.0,22.0,24,E10,0,0,0
18.4,4.2,59.0,22.0,24,E10,0,0,0
39.5,4.2,58.0,22.0,25,E10,0,0,0
21.5,4.8,47.0,25.0,27,E10,1,0,1
4.8,4.7,26.0,25.0,18,E10,0,0,0
100.9,4.7,87.0,23.5,22,E10,0,0,0
129.7,4.6,58.0,24.0,21,E10,0,0,0
16.6,3.8,43.0,21.5,16,E10,0,0,0
15.4,4.2,50.0,21.5,21,E10,0,0,0
16.0,3.7,45.0,22.0,17,E10,0,0,0
16.0,4.2,41.0,22.0,15,E10,0,0,0
15.4,4.1,45.0,22.0,24,E10,0,0,0
16.0,4.0,43.0,22.0,16,E10,0,0,0
21.0,3.8,37.0,22.0,21,E10,0,0,0
15.4,3.8,47.0,22.0,24,E10,0,0,0
16.0,3.8,42.0,22.0,17,E10,0,0,0
16.1,5.1,30.0,25.0,16,E10,1,1,0
16.0,4.0,42.0,22.0,15,E10,0,0,0
15.4,4.8,40.0,22.0,18,E10,0,0,0
17.2,3.9,35.0,22.0,16,E10,0,0,0
16.6,4.6,50.0,22.0,25,E10,0,0,0
18.3,4.3,46.0,22.0,16,SP98,0,0,0
16.1,4.8,36.0,22.0,18,SP98,0,1,0
16.0,4.1,46.0,22.0,17,SP98,0,0,0
16.3,4.0,35.0,22.0,23,SP98,0,0,0
16.0,3.7,44.0,22.0,16,SP98,0,0,0
18.3,4.3,46.0,22.0,23,SP98,0,0,0
4.5,5.2,23.0,22.0,23,SP98,0,0,1
17.0,4.2,48.0,22.0,16,SP98,0,0,0
6.1,5.0,35.0,24.5,18,SP98,0,0,0
6.1,5.0,33.0,22.0,24,SP98,0,0,1
17.3,4.2,36.0,22.0,22,SP98,0,0,0
6.0,4.8,27.0,22.0,17,SP98,0,0,0
16.0,4.1,45.0,22.0,15,SP98,0,0,0
15.4,4.9,55.0,22.0,18,SP98,0,0,0
15.4,4.3,39.0,22.0,23,SP98,0,0,0
16.0,3.9,35.0,22.0,18,SP98,0,0,0
15.4,4.5,52.0,22.0,26,SP98,0,0,0
16.6,4.1,48.0,25.5,30,SP98,1,0,1
15.4,5.0,48.0,25.5,31,SP98,1,0,0
16.0,4.0,43.0,22.0,21,SP98,1,0,0
15.4,4.5,42.0,22.0,30,SP98,0,0,0
16.0,3.6,43.0,22.0,19,SP98,0,0,0
20.9,4.1,33.0,22.0,21,SP98,0,0,0
32.1,3.9,47.0,22.0,26,SP98,0,0,0
15.3,6.6,16.0,24.0,27,SP98,1,0,0
28.5,4.0,44.0,25.0,23,SP98,1,0,0
11.9,3.7,33.0,25.0,19,SP98,0,0,0
14.5,4.3,36.0,25.0,22,SP98,0,0,0
16.6,4.1,49.0,22.0,26,SP98,0,0,1
16.2,4.4,39.0,24.5,17,SP98,1,0,0
16.7,3.8,44.0,24.5,23,SP98,0,0,1
8.3,5.0,52.0,24.5,27,SP98,0,0,0
5.5,3.7,33.0,24.5,28,SP98,0,0,1
13.6,3.7,33.0,24.5,28,SP98,0,0,1
16.0,3.7,39.0,24.5,18,SP98,0,0,0
16.1,4.3,38.0,25.0,31,SP98,1,0,0
16.0,3.8,45.0,25.0,19,SP98,0,0,0
15.4,4.6,42.0,25.0,31,SP98,1,0,0
14.7,5.0,25.0,25.0,30,SP98,1,0,0
