,distance,consume,speed,temp_inside,temp_outside,gas_type,ac,rain,sun,temp_difference
0,28.0,5.0,26,21.5,12,E10,0,0,0,9.5
1,12.0,4.2,30,21.5,13,E10,0,0,0,8.5
2,11.2,5.5,38,21.5,15,E10,0,0,0,6.5
3,12.9,3.9,36,21.5,14,E10,0,0,0,7.5
4,18.5,4.5,46,21.5,15,E10,0,0,0,6.5
5,8.3,6.4,50,21.5,10,E10,0,0,0,11.5
6,7.8,4.4,43,21.5,11,E10,0,0,0,10.5
7,12.3,5.0,40,21.5,6,E10,0,0,0,15.5
8,4.9,6.4,26,21.5,4,E10,0,0,0,17.5
9,11.9,5.3,30,21.5,9,E10,0,0,0,12.5
10,12.4,5.6,42,21.5,4,E10,0,0,0,17.5
11,11.8,4.6,38,21.5,0,E10,0,0,0,21.5
12,12.3,5.9,59,21.5,10,E10,0,0,0,11.5
13,24.7,5.1,58,21.5,12,E10,0,0,0,9.5
14,12.4,4.7,46,21.5,11,E10,0,0,0,10.5
15,17.3,5.1,24,21.5,5,E10,0,0,0,16.5
16,33.4,5.6,36,21.5,3,E10,0,0,0,18.5
17,11.8,5.1,32,21.5,3,E10,0,0,0,18.5
18,25.9,4.9,39,21.5,8,E10,0,0,0,13.5
19,11.8,4.7,40,21.5,4,E10,0,0,0,17.5
20,25.3,5.5,32,21.5,3,E10,0,0,0,18.5
21,14.2,5.9,38,21.5,1,E10,0,0,0,20.5
22,17.9,5.7,37,21.5,1,E10,0,0,0,20.5
23,11.8,4.7,36,21.5,1,E10,0,0,0,20.5
24,12.3,5.9,62,21.5,6,E10,0,0,0,15.5
25,12.4,4.1,57,21.5,9,E10,0,0,0,12.5
26,18.4,5.7,21,22.5,2,E10,0,0,0,20.5
27,18.4,5.8,28,21.5,3,E10,0,0,0,18.5
28,18.3,5.5,29,21.5,1,E10,0,0,0,20.5
29,18.4,5.7,35,21.5,4,E10,0,0,0,17.5
30,12.3,5.3,51,21.5,11,E10,0,0,0,10.5
31,11.8,5.0,29,21.5,10,E10,0,0,0,11.5
32,12.3,5.6,58,21.5,8,E10,0,0,0,13.5
33,32.6,4.8,40,21.5,7,E10,0,0,0,14.5
34,19.0,4.3,36,21.5,7,E10,0,0,0,14.5
35,12.1,5.7,36,21.5,8,E10,0,0,0,13.5
36,20.0,5.2,37,21.5,4,E10,0,0,0,17.5
37,4.9,7.4,26,21.5,6,E10,0,0,0,15.5
38,11.8,4.8,23,21.5,9,E10,0,0,0,12.5
39,12.3,6.5,58,21.5,7,E10,0,0,0,14.5
40,12.4,4.0,55,21.5,7,E10,1,1,0,14.5
41,4.5,5.0,29,21.5,7,E10,1,0,0,14.5
42,11.7,4.6,37,21.5,6,E10,0,0,0,15.5
43,10.2,4.3,44,21.5,7,E10,0,0,0,14.5
44,5.4,3.3,32,21.5,7,SP98,0,0,0,14.5
45,2.0,9.9,21,21.5,4,SP98,0,0,0,17.5
46,14.2,5.1,32,21.5,7,SP98,0,0,0,14.5
47,16.0,4.9,25,21.5,8,SP98,0,0,0,13.5
48,11.8,4.9,25,21.5,11,SP98,0,0,0,10.5
49,27.3,4.7,36,21.5,10,SP98,0,0,0,11.5
50,11.8,5.1,29,21.5,5,SP98,0,1,0,16.5
51,10.6,4.9,63,21.5,6,SP98,0,0,0,15.5
52,11.6,4.2,61,21.5,7,SP98,0,0,0,14.5
53,13.1,6.1,46,21.5,6,SP98,0,1,0,15.5
54,6.1,6.4,28,21.5,8,SP98,0,0,0,13.5
55,153.5,4.9,82,21.5,3,SP98,0,1,0,18.5
56,11.8,4.9,24,21.5,7,SP98,0,0,0,14.5
57,12.3,6.2,61,21.5,8,SP98,0,0,0,13.5
58,12.4,4.2,57,21.5,8,SP98,0,0,0,13.5
59,12.3,5.7,52,21.5,8,SP98,0,1,0,13.5
60,2.9,7.9,18,21.5,9,SP98,1,1,0,12.5
61,2.1,12.2,23,21.5,9,SP98,1,1,0,12.5
62,9.8,5.8,24,21.5,6,SP98,0,0,0,15.5
63,6.8,5.3,26,21.5,6,SP98,0,0,0,15.5
64,12.4,5.4,24,21.5,7,SP98,0,0,0,14.5
65,12.4,4.7,57,21.5,8,SP98,0,0,0,13.5
66,11.8,4.6,41,21.5,6,SP98,0,0,0,15.5
67,12.3,5.4,55,21.5,8,SP98,0,0,0,13.5
68,14.0,4.3,40,21.5,8,SP98,0,0,0,13.5
69,11.8,4.5,37,21.5,4,SP98,1,0,0,17.5
70,12.3,5.2,55,21.5,12,SP98,0,0,0,9.5
71,2.0,6.2,20,21.5,10,SP98,0,0,0,11.5
72,13.9,5.1,29,21.5,6,SP98,0,0,0,15.5
73,9.7,3.9,42,21.5,8,SP98,0,0,0,13.5
74,11.6,5.0,25,21.5,6,SP98,0,0,0,15.5
75,14.2,5.4,38,21.5,7,SP98,0,0,0,14.5
76,11.8,4.5,39,21.5,6,SP98,0,0,0,15.5
77,24.8,5.1,50,21.5,9,SP98,0,0,0,12.5
78,12.4,4.7,56,21.5,7,SP98,0,0,0,14.5
79,34.8,4.0,28,20.0,4,SP98,0,0,0,16.0
80,14.2,5.4,36,20.0,6,SP98,0,0,0,14.0
81,5.2,4.5,39,20.0,10,SP98,0,0,0,10.0
82,10.5,3.6,42,20.0,10,SP98,0,0,0,10.0
83,12.3,5.2,57,20.0,10,SP98,0,0,0,10.0
84,11.8,4.9,25,20.0,11,SP98,0,0,0,9.0
85,12.3,6.2,58,20.0,11,SP98,0,1,0,9.0
86,13.2,4.3,51,20.0,11,SP98,0,1,0,9.0
87,13.0,5.0,45,20.0,11,SP98,0,1,0,9.0
88,12.9,5.1,32,20.0,11,SP98,0,0,0,9.0
89,13.9,5.6,22,20.0,8,SP98,0,0,0,12.0
90,11.8,4.3,37,20.0,6,SP98,0,0,0,14.0
91,12.2,5.8,60,20.0,11,SP98,0,0,0,9.0
92,12.5,4.0,51,20.0,13,SP98,0,0,0,7.0
93,12.4,4.7,43,21.5,10,SP98,0,0,0,11.5
94,11.8,5.9,21,20.0,9,SP98,1,1,0,11.0
95,11.8,5.3,52,21.5,11,SP98,0,0,0,10.5
96,12.5,4.2,57,20.0,11,SP98,0,0,0,9.0
97,15.7,5.3,33,21.5,9,SP98,0,0,0,12.5
98,12.9,5.7,35,21.5,9,SP98,0,0,0,12.5
99,6.4,4.4,37,21.5,10,SP98,0,0,0,11.5
100,5.3,4.1,34,21.5,9,SP98,0,0,0,12.5
101,26.2,5.8,71,21.0,8,SP98,1,1,0,13.0
102,18.8,5.0,62,21.5,9,SP98,0,1,0,12.5
103,4.9,6.9,25,21.0,12,SP98,0,1,0,9.0
104,12.4,5.4,18,21.0,11,SP98,1,1,0,10.0
105,22.9,5.3,45,20.5,7,SP98,0,0,0,13.5
106,162.7,5.5,75,23.0,1,SP98,0,0,0,22.0
107,4.9,6.5,26,21.0,1,SP98,0,0,0,20.0
108,11.8,4.7,36,21.0,4,SP98,0,0,0,17.0
109,16.6,5.1,56,21.0,7,SP98,0,0,0,14.0
110,12.4,5.7,37,21.0,7,SP98,0,0,0,14.0
111,15.9,5.4,25,21.0,7,SP98,0,0,0,14.0
112,5.1,8.7,21,23.5,5,SP98,0,0,0,18.5
113,22.4,4.9,66,20.5,7,SP98,0,0,0,13.5
114,31.1,4.7,42,20.5,7,SP98,0,0,0,13.5
115,4.9,6.3,27,20.5,3,SP98,0,0,0,17.5
116,11.8,5.1,26,23.0,4,SP98,0,1,0,19.0
117,22.9,6.0,42,23.0,4,SP98,0,1,0,19.0
118,12.4,4.6,38,23.0,1,SP98,0,1,0,22.0
119,12.9,5.8,40,23.0,4,SP98,0,0,0,19.0
120,11.8,5.1,43,23.0,0,SP98,0,0,0,23.0
121,12.2,5.8,58,23.0,2,SP98,0,0,0,21.0
122,24.8,4.6,55,23.0,3,SP98,0,0,0,20.0
123,14.2,5.6,24,23.0,8,SP98,0,0,0,15.0
124,11.8,4.6,38,23.0,0,SP98,0,1,0,23.0
125,12.2,6.3,57,23.0,0,SP98,0,1,0,23.0
126,24.7,5.5,56,25.0,1,SP98,0,0,0,24.0
127,6.8,4.3,46,24.0,2,SP98,0,0,0,22.0
128,17.3,5.6,37,21.5,1,SP98,0,0,0,20.5
129,11.8,4.3,44,21.5,-3,SP98,0,0,0,24.5
130,15.9,5.7,46,21.5,5,SP98,0,0,0,16.5
131,5.1,6.4,39,21.5,4,SP98,0,0,0,17.5
132,16.1,4.5,33,21.5,6,SP98,0,0,0,15.5
133,11.8,4.5,43,21.5,3,SP98,0,0,0,18.5
134,4.2,6.0,26,21.5,5,SP98,0,0,0,16.5
135,17.4,5.1,30,21.5,5,SP98,0,0,0,16.5
136,23.5,6.0,25,21.5,5,SP98,0,1,0,16.5
137,11.8,4.5,38,21.5,5,SP98,0,1,0,16.5
138,12.3,6.1,61,21.5,10,SP98,0,1,0,11.5
139,16.1,5.4,24,21.5,7,E10,0,1,0,14.5
140,11.8,4.3,40,21.5,10,E10,0,1,0,11.5
141,12.3,5.4,58,21.5,13,E10,0,0,0,8.5
142,12.4,4.3,49,21.5,17,E10,0,0,0,4.5
143,7.0,5.2,25,21.5,17,E10,0,0,0,4.5
144,11.8,4.1,37,21.5,10,E10,0,0,0,11.5
145,20.1,4.4,41,21.5,18,E10,0,0,0,3.5
146,20.8,4.5,45,21.5,10,E10,0,0,0,11.5
147,1.7,10.8,14,21.5,10,E10,0,1,0,11.5
148,35.9,4.7,45,21.5,12,E10,0,0,0,9.5
149,36.9,4.8,52,21.5,5,E10,0,0,0,16.5
150,16.8,4.0,46,21.5,8,E10,0,0,0,13.5
151,9.9,5.0,28,21.5,9,E10,0,0,0,12.5
152,22.9,4.6,61,21.5,7,E10,0,1,0,14.5
153,17.3,5.0,61,21.5,6,E10,1,1,0,15.5
154,11.8,4.3,37,21.5,7,E10,0,0,0,14.5
155,36.6,5.2,80,21.5,7,E10,0,1,0,14.5
156,44.9,4.7,62,21.5,8,E10,0,0,0,13.5
157,11.8,4.2,34,21.5,9,E10,0,1,0,12.5
158,21.6,5.3,44,21.5,9,E10,0,1,0,12.5
159,39.4,5.3,60,21.5,9,E10,0,1,0,12.5
160,5.1,8.1,39,21.5,4,E10,0,0,0,17.5
161,26.6,4.8,38,21.5,7,E10,0,0,0,14.5
162,53.2,5.1,71,21.5,2,E10,0,0,0,19.5
163,18.9,4.4,53,21.5,2,E10,0,0,0,19.5
164,43.5,5.0,80,21.5,3,E10,0,0,0,18.5
165,6.1,6.3,26,21.5,5,E10,0,0,0,16.5
166,16.4,4.8,49,21.5,5,E10,0,0,0,16.5
167,12.3,6.1,40,21.5,6,E10,0,0,0,15.5
168,21.1,4.6,36,21.5,8,E10,0,0,0,13.5
169,21.1,4.8,43,21.5,7,E10,0,0,0,14.5
170,22.7,4.7,55,21.5,6,E10,0,0,0,15.5
171,44.4,4.8,38,21.5,8,E10,0,0,0,13.5
172,35.8,4.4,51,21.5,6,E10,0,0,0,15.5
173,11.8,4.9,44,21.5,0,E10,0,0,0,21.5
174,26.2,4.9,42,21.5,6,E10,0,0,0,15.5
175,40.6,4.4,44,21.0,3,E10,0,0,0,18.0
176,12.4,5.3,38,21.0,-5,E10,0,0,0,26.0
177,14.1,5.3,47,21.0,-3,E10,0,0,0,24.0
178,58.7,4.8,75,21.0,0,E10,0,0,0,21.0
179,16.2,5.2,29,21.0,0,E10,0,0,0,21.0
180,12.3,4.9,50,22.5,0,E10,0,0,0,22.5
181,12.3,7.1,52,22.5,0,E10,1,1,0,22.5
182,12.4,5.2,51,22.5,1,E10,0,0,0,21.5
183,31.8,4.7,59,22.5,3,E10,0,0,0,19.5
184,12.3,5.1,55,22.5,8,E10,0,0,0,14.5
185,51.6,5.0,73,22.5,12,E10,0,0,0,10.5
186,38.6,4.6,44,22.5,10,E10,0,0,0,12.5
187,12.3,4.8,41,22.5,7,E10,0,0,0,15.5
188,81.2,4.4,69,22.0,13,E10,0,0,0,9.0
189,130.3,4.6,85,22.0,12,E10,0,0,0,10.0
190,67.2,4.3,67,22.0,18,E10,0,0,0,4.0
191,43.7,4.7,44,22.0,9,SP98,0,1,0,13.0
192,12.1,4.2,43,22.0,4,SP98,0,0,0,18.0
193,56.1,4.8,82,22.0,13,SP98,0,0,0,9.0
194,39.0,4.1,61,22.0,16,SP98,0,0,0,6.0
195,11.8,4.5,41,21.5,13,SP98,0,0,0,8.5
196,38.5,4.8,63,21.5,14,SP98,0,0,0,7.5
197,28.2,4.6,54,21.5,14,SP98,0,0,0,7.5
198,2.9,7.4,24,21.5,14,SP98,0,0,0,7.5
199,6.1,5.6,24,21.5,13,SP98,0,0,0,8.5
200,19.6,4.9,43,21.5,13,SP98,0,0,0,8.5
201,22.2,3.8,42,21.5,15,SP98,0,0,0,6.5
202,13.6,4.5,44,19.0,18,SP98,0,0,0,1.0
203,12.6,4.1,33,21.5,17,SP98,0,0,0,4.5
204,8.7,5.3,28,22.5,12,SP98,1,1,0,10.5
205,7.9,4.7,31,22.5,12,SP98,1,0,0,10.5
206,2.4,9.0,26,20.0,10,SP98,0,0,0,10.0
207,4.9,6.3,26,20.0,10,SP98,0,0,0,10.0
208,18.1,3.6,36,20.0,19,SP98,0,0,0,1.0
209,25.9,3.7,39,20.0,21,SP98,0,0,0,-1.0
210,1.3,11.5,21,20.0,10,SP98,0,0,0,10.0
211,14.1,5.0,22,20.0,12,SP98,0,0,0,8.0
212,13.4,5.5,31,20.0,9,SP98,0,0,0,11.0
213,6.4,4.7,33,20.0,8,SP98,0,0,0,12.0
214,12.9,4.5,42,20.0,13,SP98,0,0,0,7.0
215,12.1,4.4,33,22.5,5,SP98,0,0,0,17.5
216,15.7,4.1,32,22.5,13,SP98,0,0,0,9.5
217,16.2,4.4,26,22.5,11,SP98,0,0,0,11.5
218,12.8,4.6,22,22.5,12,SP98,0,0,0,10.5
219,19.0,4.4,58,22.5,17,SP98,0,0,1,5.5
220,29.0,4.0,27,22.5,12,SP98,0,0,0,10.5
221,12.1,5.0,32,22.5,9,SP98,0,0,0,13.5
222,12.3,5.2,55,22.5,10,SP98,0,0,0,12.5
223,24.8,4.0,56,22.5,11,SP98,0,0,0,11.5
224,12.9,5.1,34,22.5,8,SP98,0,1,0,14.5
225,11.8,4.5,39,22.5,3,SP98,0,0,0,19.5
226,31.4,4.6,62,22.5,11,SP98,0,0,0,11.5
227,19.0,5.1,53,22.5,4,SP98,0,1,0,18.5
228,13.0,5.7,38,22.5,3,SP98,1,1,0,19.5
229,11.8,4.8,42,22.5,2,SP98,0,0,0,20.5
230,13.0,6.2,32,22.5,4,SP98,0,0,0,18.5
231,11.8,5.0,43,22.5,1,SP98,0,0,0,21.5
232,27.1,5.0,69,22.5,8,SP98,0,0,0,14.5
233,5.2,4.6,38,22.5,8,SP98,0,0,0,14.5
234,19.0,4.5,29,22.5,10,E10,0,0,0,12.5
235,12.4,4.8,38,22.5,1,E10,0,0,0,21.5
236,25.2,5.0,55,22.5,9,E10,0,0,0,13.5
237,14.3,4.8,36,22.5,10,E10,0,0,0,12.5
238,11.8,4.6,40,22.5,2,E10,0,0,0,20.5
239,16.9,4.5,48,22.5,9,E10,0,0,1,13.5
240,12.4,4.6,55,22.5,11,E10,0,0,1,11.5
241,17.4,4.4,36,22.5,12,E10,0,0,1,10.5
242,9.2,5.7,33,22.5,8,E10,0,1,0,14.5
243,12.3,5.8,54,22.5,10,E10,0,1,0,12.5
244,13.0,5.9,32,22.5,10,E10,0,0,0,12.5
245,11.8,6.1,16,22.5,6,E10,0,1,0,16.5
246,13.0,5.7,37,22.5,11,E10,0,1,0,11.5
247,12.3,5.0,42,22.5,10,E10,0,0,0,12.5
248,12.3,5.2,57,22.5,15,E10,0,0,1,7.5
249,12.5,4.3,57,22.5,16,E10,0,0,1,6.5
250,31.5,4.1,30,22.5,16,E10,0,0,1,6.5
251,11.8,4.4,42,22.5,8,E10,0,0,0,14.5
252,24.9,4.5,53,22.5,14,E10,0,0,0,8.5
253,17.0,3.9,46,22.5,14,E10,0,0,1,8.5
254,2.0,8.1,20,22.5,14,E10,0,0,0,8.5
255,11.8,4.4,33,22.5,8,E10,0,0,0,14.5
256,7.4,5.0,31,22.5,12,E10,0,0,0,10.5
257,12.4,4.7,55,22.5,14,E10,0,0,1,8.5
258,2.0,6.0,22,22.5,14,E10,0,0,0,8.5
259,14.0,5.0,41,22.5,8,E10,0,0,0,14.5
260,25.7,5.0,45,22.5,7,E10,0,0,0,15.5
261,24.5,3.9,50,21.5,15,E10,0,0,1,6.5
262,11.8,4.5,28,22.5,12,E10,0,0,0,10.5
263,4.1,5.4,24,22.5,13,E10,0,0,0,9.5
264,4.2,5.6,29,22.0,17,E10,0,0,0,5.0
265,4.2,3.9,29,22.0,18,E10,0,0,1,4.0
266,16.0,4.0,40,22.0,10,E10,0,0,0,12.0
267,22.9,4.0,29,21.5,21,E10,0,0,0,0.5
268,16.0,3.8,42,21.5,8,E10,0,0,0,13.5
269,15.4,4.5,50,22.0,14,E10,0,0,0,8.0
270,16.0,3.8,41,22.0,12,E10,0,0,0,10.0
271,4.2,5.6,32,22.0,18,E10,0,0,0,4.0
272,101.9,5.2,75,22.0,18,E10,0,0,0,4.0
273,93.9,4.8,88,23.0,18,E10,1,0,1,5.0
274,25.7,4.9,50,22.0,10,SP98,0,1,0,12.0
275,16.0,4.1,40,22.0,10,SP98,0,0,0,12.0
276,16.1,4.5,32,22.0,19,SP98,0,0,0,3.0
277,16.0,4.4,40,22.0,7,SP98,1,1,0,15.0
278,16.0,4.5,41,22.0,11,SP98,0,0,0,11.0
279,24.7,4.5,26,22.0,10,SP98,0,0,0,12.0
280,16.0,3.9,42,22.0,8,SP98,0,0,0,14.0
281,15.4,4.6,43,22.0,16,SP98,0,0,0,6.0
282,16.0,3.8,40,22.0,8,SP98,0,0,0,14.0
283,32.1,4.5,50,22.0,16,SP98,0,0,0,6.0
284,25.9,4.4,40,22.0,14,SP98,0,0,0,8.0
285,48.6,4.3,44,22.0,12,SP98,0,0,0,10.0
286,37.2,4.0,45,22.0,20,SP98,0,0,1,2.0
287,28.8,3.9,35,22.0,15,SP98,0,0,1,7.0
288,6.7,5.0,30,22.0,17,SP98,0,0,0,5.0
289,7.4,4.1,25,22.0,18,SP98,0,0,1,4.0
290,17.3,4.1,22,22.0,25,SP98,0,0,1,-3.0
291,6.6,5.6,43,22.0,16,SP98,0,0,0,6.0
292,14.3,4.1,26,22.0,20,SP98,0,0,0,2.0
293,13.3,4.6,33,22.0,18,SP98,0,0,0,4.0
294,8.3,4.9,26,22.0,23,SP98,0,0,0,-1.0
295,12.7,4.5,39,22.0,27,SP98,0,0,1,-5.0
296,16.5,4.1,47,22.0,14,SP98,0,0,0,8.0
297,20.6,4.1,38,22.0,21,SP98,0,0,0,1.0
298,16.3,4.5,58,22.0,16,SP98,0,0,0,6.0
299,18.7,4.2,65,25.0,18,SP98,1,0,1,7.0
300,36.5,3.9,54,23.0,18,SP98,0,0,1,5.0
301,19.0,5.0,35,22.0,15,SP98,1,0,1,7.0
302,16.6,4.4,46,22.0,5,SP98,1,0,0,17.0
303,29.9,4.5,32,22.0,18,SP98,1,0,0,4.0
304,16.0,3.8,42,22.0,11,SP98,0,0,0,11.0
305,21.1,5.1,33,22.0,10,SP98,0,1,0,12.0
306,16.0,3.9,40,22.0,10,SP98,0,0,0,12.0
307,11.9,5.3,34,22.0,13,SP98,0,0,0,9.0
308,10.1,4.2,35,22.0,16,SP98,0,0,0,6.0
309,31.9,4.3,33,22.0,16,SP98,0,0,0,6.0
310,18.7,4.0,60,22.0,13,SP98,0,0,0,9.0
311,10.8,4.7,48,22.0,17,SP98,0,0,1,5.0
312,19.8,4.0,56,22.0,17,SP98,0,0,1,5.0
313,11.3,4.3,38,22.0,17,SP98,0,0,0,5.0
314,11.5,5.3,53,22.0,15,SP98,0,0,0,7.0
315,21.4,5.2,51,22.0,13,SP98,0,0,0,9.0
316,32.0,4.9,53,22.0,15,SP98,0,0,0,7.0
317,41.9,4.7,53,22.0,14,SP98,0,0,0,8.0
318,211.0,4.6,80,22.0,20,SP98,0,0,0,2.0
319,216.1,5.3,90,22.0,21,SP98,0,0,1,1.0
320,25.5,3.6,27,22.0,27,SP98,0,0,1,-5.0
321,16.6,4.2,52,22.0,15,SP98,0,1,0,7.0
322,25.9,4.1,43,22.0,24,SP98,0,0,0,-2.0
323,16.5,4.0,48,22.0,15,SP98,0,0,0,7.0
324,22.1,3.9,29,22.0,26,SP98,0,0,0,-4.0
325,16.6,3.7,49,22.0,17,E10,0,0,0,5.0
326,15.4,4.5,43,22.0,24,E10,0,0,0,-2.0
327,16.5,3.9,43,22.0,17,E10,0,0,0,5.0
328,15.4,5.1,21,22.0,24,E10,0,0,0,-2.0
329,18.4,4.2,59,22.0,24,E10,0,0,0,-2.0
330,39.5,4.2,58,22.0,25,E10,0,0,0,-3.0
331,21.5,4.8,47,25.0,27,E10,1,0,1,-2.0
332,4.8,4.7,26,25.0,18,E10,0,0,0,7.0
333,100.9,4.7,87,23.5,22,E10,0,0,0,1.5
334,129.7,4.6,58,24.0,21,E10,0,0,0,3.0
335,16.6,3.8,43,21.5,16,E10,0,0,0,5.5
336,15.4,4.2,50,21.5,21,E10,0,0,0,0.5
337,16.0,3.7,45,22.0,17,E10,0,0,0,5.0
338,16.0,4.2,41,22.0,15,E10,0,0,0,7.0
339,15.4,4.1,45,22.0,24,E10,0,0,0,-2.0
340,16.0,4.0,43,22.0,16,E10,0,0,0,6.0
341,21.0,3.8,37,22.0,21,E10,0,0,0,1.0
342,15.4,3.8,47,22.0,24,E10,0,0,0,-2.0
343,16.0,3.8,42,22.0,17,E10,0,0,0,5.0
344,16.1,5.1,30,25.0,16,E10,1,1,0,9.0
345,16.0,4.0,42,22.0,15,E10,0,0,0,7.0
346,15.4,4.8,40,22.0,18,E10,0,0,0,4.0
347,17.2,3.9,35,22.0,16,E10,0,0,0,6.0
348,16.6,4.6,50,22.0,25,E10,0,0,0,-3.0
349,18.3,4.3,46,22.0,16,SP98,0,0,0,6.0
350,16.1,4.8,36,22.0,18,SP98,0,1,0,4.0
351,16.0,4.1,46,22.0,17,SP98,0,0,0,5.0
352,16.3,4.0,35,22.0,23,SP98,0,0,0,-1.0
353,16.0,3.7,44,22.0,16,SP98,0,0,0,6.0
354,18.3,4.3,46,22.0,23,SP98,0,0,0,-1.0
355,4.5,5.2,23,22.0,23,SP98,0,0,1,-1.0
356,17.0,4.2,48,22.0,16,SP98,0,0,0,6.0
357,6.1,5.0,35,24.5,18,SP98,0,0,0,6.5
358,6.1,5.0,33,22.0,24,SP98,0,0,1,-2.0
359,17.3,4.2,36,22.0,22,SP98,0,0,0,0.0
360,6.0,4.8,27,22.0,17,SP98,0,0,0,5.0
361,16.0,4.1,45,22.0,15,SP98,0,0,0,7.0
362,15.4,4.9,55,22.0,18,SP98,0,0,0,4.0
363,15.4,4.3,39,22.0,23,SP98,0,0,0,-1.0
364,16.0,3.9,35,22.0,18,SP98,0,0,0,4.0
365,15.4,4.5,52,22.0,26,SP98,0,0,0,-4.0
366,16.6,4.1,48,25.5,30,SP98,1,0,1,-4.5
367,15.4,5.0,48,25.5,31,SP98,1,0,0,-5.5
368,16.0,4.0,43,22.0,21,SP98,1,0,0,1.0
369,15.4,4.5,42,22.0,30,SP98,0,0,0,-8.0
370,16.0,3.6,43,22.0,19,SP98,0,0,0,3.0
371,20.9,4.1,33,22.0,21,SP98,0,0,0,1.0
372,32.1,3.9,47,22.0,26,SP98,0,0,0,-4.0
373,15.3,6.6,16,24.0,27,SP98,1,0,0,-3.0
374,28.5,4.0,44,25.0,23,SP98,1,0,0,2.0
375,11.9,3.7,33,25.0,19,SP98,0,0,0,6.0
376,14.5,4.3,36,25.0,22,SP98,0,0,0,3.0
377,16.6,4.1,49,22.0,26,SP98,0,0,1,-4.0
378,16.2,4.4,39,24.5,17,SP98,1,0,0,7.5
379,16.7,3.8,44,24.5,23,SP98,0,0,1,1.5
380,8.3,5.0,52,24.5,27,SP98,0,0,0,-2.5
381,5.5,3.7,33,24.5,28,SP98,0,0,1,-3.5
382,13.6,3.7,33,24.5,28,SP98,0,0,1,-3.5
383,16.0,3.7,39,24.5,18,SP98,0,0,0,6.5
384,16.1,4.3,38,25.0,31,SP98,1,0,0,-6.0
385,16.0,3.8,45,25.0,19,SP98,0,0,0,6.0
386,15.4,4.6,42,25.0,31,SP98,1,0,0,-6.0
387,14.7,5.0,25,25.0,30,SP98,1,0,0,-5.0
