distance,consume,speed,temp_inside,temp_outside,gas_type,AC,rain,sun,fuel_consumed,cost
28.0,5.0,26,21.93491124260355,12,E10,0,0,0,1.4,2.3506
12.0,4.2,30,21.93491124260355,13,E10,0,0,0,0.504,0.8462160000000001
11.2,5.5,38,21.93491124260355,15,E10,0,0,0,0.616,1.034264
12.9,3.9,36,21.93491124260355,14,E10,0,0,0,0.5031,0.8447049
18.5,4.5,46,21.93491124260355,15,E10,0,0,0,0.8325,1.3977675
8.3,6.4,50,21.93491124260355,10,E10,0,0,0,0.5312,0.8918848
7.8,4.4,43,21.93491124260355,11,E10,0,0,0,0.3432,0.5762328
12.3,5.0,40,21.93491124260355,6,E10,0,0,0,0.615,1.032585
4.9,6.4,26,21.93491124260355,4,E10,0,0,0,0.31360000000000005,0.5265344000000001
11.9,5.3,30,21.93491124260355,9,E10,0,0,0,0.6307,1.0589453000000002
12.4,5.6,42,21.93491124260355,4,E10,0,0,0,0.6944,1.1658976
11.8,4.6,38,21.93491124260355,0,E10,0,0,0,0.5428000000000001,0.9113612000000001
12.3,5.9,59,21.93491124260355,10,E10,0,0,0,0.7257000000000001,1.2184503000000002
24.7,5.1,58,21.93491124260355,12,E10,0,0,0,1.2596999999999998,2.1150363
12.4,4.7,46,21.93491124260355,11,E10,0,0,0,0.5828,0.9785212
17.3,5.1,24,21.93491124260355,5,E10,0,0,0,0.8823000000000001,1.4813817000000002
33.4,5.6,36,21.93491124260355,3,E10,0,0,0,1.8703999999999998,3.1404015999999997
11.8,5.1,32,21.93491124260355,3,E10,0,0,0,0.6018,1.0104222
25.9,4.9,39,21.93491124260355,8,E10,0,0,0,1.2691,2.1308189
11.8,4.7,40,21.93491124260355,4,E10,0,0,0,0.5546000000000001,0.9311734000000002
25.3,5.5,32,21.93491124260355,3,E10,0,0,0,1.3915,2.3363285
14.2,5.9,38,21.93491124260355,1,E10,0,0,0,0.8378,1.4066662
17.9,5.7,37,21.93491124260355,1,E10,0,0,0,1.0203,1.7130837
11.8,4.7,36,21.93491124260355,1,E10,0,0,0,0.5546000000000001,0.9311734000000002
12.3,5.9,62,21.93491124260355,6,E10,0,0,0,0.7257000000000001,1.2184503000000002
12.4,4.1,57,21.93491124260355,9,E10,0,0,0,0.5084,0.8536035999999999
18.4,5.7,21,21.93491124260355,2,E10,0,0,0,1.0488,1.7609352
18.4,5.8,28,21.93491124260355,3,E10,0,0,0,1.0672,1.7918288
18.3,5.5,29,21.93491124260355,1,E10,0,0,0,1.0065,1.6899135
18.4,5.7,35,21.93491124260355,4,E10,0,0,0,1.0488,1.7609352
12.3,5.3,51,21.93491124260355,11,E10,0,0,0,0.6518999999999999,1.0945401
11.8,5.0,29,21.93491124260355,10,E10,0,0,0,0.59,0.99061
12.3,5.6,58,21.93491124260355,8,E10,0,0,0,0.6888,1.1564952
32.6,4.8,40,21.93491124260355,7,E10,0,0,0,1.5648,2.6272992
19.0,4.3,36,21.93491124260355,7,E10,0,0,0,0.8170000000000001,1.3717430000000002
12.1,5.7,36,21.93491124260355,8,E10,0,0,0,0.6897,1.1580063
20.0,5.2,37,21.93491124260355,4,E10,0,0,0,1.04,1.7461600000000002
4.9,7.4,26,21.93491124260355,6,E10,0,0,0,0.36260000000000003,0.6088054
11.8,4.8,23,21.93491124260355,9,E10,0,0,0,0.5664,0.9509856000000001
12.3,6.5,58,21.93491124260355,7,E10,0,0,0,0.7995,1.3423605
12.4,4.0,55,21.93491124260355,7,E10,1,1,0,0.496,0.832784
4.5,5.0,29,21.93491124260355,7,E10,1,0,0,0.225,0.377775
11.7,4.6,37,21.93491124260355,6,E10,0,0,0,0.5381999999999999,0.9036377999999998
10.2,4.3,44,21.93491124260355,7,E10,0,0,0,0.43859999999999993,0.7364093999999999
5.4,3.3,32,21.93491124260355,7,SP98,0,0,0,0.1782,0.3040092
2.0,9.9,21,21.93491124260355,4,SP98,0,0,0,0.198,0.33778800000000003
14.2,5.1,32,21.93491124260355,7,SP98,0,0,0,0.7241999999999998,1.2354851999999996
16.0,4.9,25,21.93491124260355,8,SP98,0,0,0,0.784,1.337504
11.8,4.9,25,21.93491124260355,11,SP98,0,0,0,0.5782,0.9864092000000001
27.3,4.7,36,21.93491124260355,10,SP98,0,0,0,1.2831000000000001,2.1889686000000004
11.8,5.1,29,21.93491124260355,5,SP98,0,1,0,0.6018,1.0266708
10.6,4.9,63,21.93491124260355,6,SP98,0,0,0,0.5194000000000001,0.8860964000000001
11.6,4.2,61,21.93491124260355,7,SP98,0,0,0,0.48719999999999997,0.8311631999999999
13.1,6.1,46,21.93491124260355,6,SP98,0,1,0,0.7990999999999999,1.3632646
6.1,6.4,28,21.93491124260355,8,SP98,0,0,0,0.39039999999999997,0.6660223999999999
153.5,4.9,82,21.93491124260355,3,SP98,0,1,0,7.5215000000000005,12.831679000000001
11.8,4.9,24,21.93491124260355,7,SP98,0,0,0,0.5782,0.9864092000000001
12.3,6.2,61,21.93491124260355,8,SP98,0,0,0,0.7626000000000001,1.3009956
12.4,4.2,57,21.93491124260355,8,SP98,0,0,0,0.5208,0.8884848000000001
12.3,5.7,52,21.93491124260355,8,SP98,0,1,0,0.7011,1.1960765999999998
2.9,7.9,18,21.93491124260355,9,SP98,1,1,0,0.2291,0.3908446
2.1,12.2,23,21.93491124260355,9,SP98,1,1,0,0.2562,0.43707719999999994
9.8,5.8,24,21.93491124260355,6,SP98,0,0,0,0.5684,0.9696904
6.8,5.3,26,21.93491124260355,6,SP98,0,0,0,0.3604,0.6148424
12.4,5.4,24,21.93491124260355,7,SP98,0,0,0,0.6696000000000001,1.1423376
12.4,4.7,57,21.93491124260355,8,SP98,0,0,0,0.5828,0.9942567999999999
11.8,4.6,41,21.93491124260355,6,SP98,0,0,0,0.5428000000000001,0.9260168000000001
12.3,5.4,55,21.93491124260355,8,SP98,0,0,0,0.6642,1.1331252
14.0,4.3,40,21.93491124260355,8,SP98,0,0,0,0.602,1.027012
11.8,4.5,37,21.93491124260355,4,SP98,1,0,0,0.531,0.9058860000000001
12.3,5.2,55,21.93491124260355,12,SP98,0,0,0,0.6396000000000001,1.0911576
2.0,6.2,20,21.93491124260355,10,SP98,0,0,0,0.124,0.21154399999999998
13.9,5.1,29,21.93491124260355,6,SP98,0,0,0,0.7089,1.2093833999999999
9.7,3.9,42,21.93491124260355,8,SP98,0,0,0,0.37829999999999997,0.6453798
11.6,5.0,25,21.93491124260355,6,SP98,0,0,0,0.58,0.9894799999999999
14.2,5.4,38,21.93491124260355,7,SP98,0,0,0,0.7668,1.3081608
11.8,4.5,39,21.93491124260355,6,SP98,0,0,0,0.531,0.9058860000000001
24.8,5.1,50,21.93491124260355,9,SP98,0,0,0,1.2648,2.1577488
12.4,4.7,56,21.93491124260355,7,SP98,0,0,0,0.5828,0.9942567999999999
34.8,4.0,28,20.0,4,SP98,0,0,0,1.392,2.374752
14.2,5.4,36,20.0,6,SP98,0,0,0,0.7668,1.3081608
5.2,4.5,39,20.0,10,SP98,0,0,0,0.234,0.399204
10.5,3.6,42,20.0,10,SP98,0,0,0,0.37800000000000006,0.6448680000000001
12.3,5.2,57,20.0,10,SP98,0,0,0,0.6396000000000001,1.0911576
11.8,4.9,25,20.0,11,SP98,0,0,0,0.5782,0.9864092000000001
12.3,6.2,58,20.0,11,SP98,0,1,0,0.7626000000000001,1.3009956
13.2,4.3,51,20.0,11,SP98,0,1,0,0.5676,0.9683256
13.0,5.0,45,20.0,11,SP98,0,1,0,0.65,1.1089
12.9,5.1,32,20.0,11,SP98,0,0,0,0.6578999999999999,1.1223773999999997
13.9,5.6,22,20.0,8,SP98,0,0,0,0.7784,1.3279504
11.8,4.3,37,20.0,6,SP98,0,0,0,0.5074000000000001,0.8656244000000001
12.2,5.8,60,20.0,11,SP98,0,0,0,0.7075999999999999,1.2071655999999997
12.5,4.0,51,20.0,13,SP98,0,0,0,0.5,0.853
12.4,4.7,43,21.93491124260355,10,SP98,0,0,0,0.5828,0.9942567999999999
11.8,5.9,21,20.0,9,SP98,1,1,0,0.6962,1.1877172
11.8,5.3,52,21.93491124260355,11,SP98,0,0,0,0.6254,1.0669324
12.5,4.2,57,20.0,11,SP98,0,0,0,0.525,0.8956500000000001
15.7,5.3,33,21.93491124260355,9,SP98,0,0,0,0.8321,1.4195626
12.9,5.7,35,21.93491124260355,9,SP98,0,0,0,0.7353000000000001,1.2544218
6.4,4.4,37,21.93491124260355,10,SP98,0,0,0,0.2816,0.4804096
5.3,4.1,34,21.93491124260355,9,SP98,0,0,0,0.21729999999999997,0.3707137999999999
26.2,5.8,71,21.0,8,SP98,1,1,0,1.5195999999999998,2.5924376
18.8,5.0,62,21.93491124260355,9,SP98,0,1,0,0.94,1.60364
4.9,6.9,25,21.0,12,SP98,0,1,0,0.3381,0.5767986
12.4,5.4,18,21.0,11,SP98,1,1,0,0.6696000000000001,1.1423376
22.9,5.3,45,21.93491124260355,7,SP98,0,0,0,1.2137,2.0705722
162.7,5.5,75,23.0,1,SP98,0,0,0,8.9485,15.266140999999998
4.9,6.5,26,21.0,1,SP98,0,0,0,0.3185,0.543361
11.8,4.7,36,21.0,4,SP98,0,0,0,0.5546000000000001,0.9461476000000001
16.6,5.1,56,21.0,7,SP98,0,0,0,0.8466,1.4442996
12.4,5.7,37,21.0,7,SP98,0,0,0,0.7068000000000001,1.2058008000000002
15.9,5.4,25,21.0,7,SP98,0,0,0,0.8586000000000001,1.4647716000000002
5.1,8.7,21,21.93491124260355,5,SP98,0,0,0,0.44369999999999993,0.7569521999999999
22.4,4.9,66,21.93491124260355,7,SP98,0,0,0,1.0976000000000001,1.8725056000000002
31.1,4.7,42,21.93491124260355,7,SP98,0,0,0,1.4617000000000002,2.4936602000000003
4.9,6.3,27,21.93491124260355,3,SP98,0,0,0,0.30870000000000003,0.5266422000000001
11.8,5.1,26,23.0,4,SP98,0,1,0,0.6018,1.0266708
22.9,6.0,42,23.0,4,SP98,0,1,0,1.3739999999999997,2.3440439999999994
12.4,4.6,38,23.0,1,SP98,0,1,0,0.5704,0.9731024
12.9,5.8,40,23.0,4,SP98,0,0,0,0.7482,1.2764292
11.8,5.1,43,23.0,0,SP98,0,0,0,0.6018,1.0266708
12.2,5.8,58,23.0,2,SP98,0,0,0,0.7075999999999999,1.2071655999999997
24.8,4.6,55,23.0,3,SP98,0,0,0,1.1408,1.9462048
14.2,5.6,24,23.0,8,SP98,0,0,0,0.7951999999999999,1.3566112
11.8,4.6,38,23.0,0,SP98,0,1,0,0.5428000000000001,0.9260168000000001
12.2,6.3,57,23.0,0,SP98,0,1,0,0.7686,1.3112316
24.7,5.5,56,25.0,1,SP98,0,0,0,1.3585,2.317601
6.8,4.3,46,24.0,2,SP98,0,0,0,0.2924,0.49883439999999996
17.3,5.6,37,21.93491124260355,1,SP98,0,0,0,0.9688,1.6527728
11.8,4.3,44,21.93491124260355,-3,SP98,0,0,0,0.5074000000000001,0.8656244000000001
15.9,5.7,46,21.93491124260355,5,SP98,0,0,0,0.9063000000000001,1.5461478000000002
5.1,6.4,39,21.93491124260355,4,SP98,0,0,0,0.3264,0.5568384000000001
16.1,4.5,33,21.93491124260355,6,SP98,0,0,0,0.7245,1.235997
11.8,4.5,43,21.93491124260355,3,SP98,0,0,0,0.531,0.9058860000000001
4.2,6.0,26,21.93491124260355,5,SP98,0,0,0,0.252,0.429912
17.4,5.1,30,21.93491124260355,5,SP98,0,0,0,0.8873999999999999,1.5139043999999997
23.5,6.0,25,21.93491124260355,5,SP98,0,1,0,1.41,2.4054599999999997
11.8,4.5,38,21.93491124260355,5,SP98,0,1,0,0.531,0.9058860000000001
12.3,6.1,61,21.93491124260355,10,SP98,0,1,0,0.7503,1.2800117999999998
16.1,5.4,24,21.93491124260355,7,E10,0,1,0,0.8694000000000002,1.4597226000000003
11.8,4.3,40,21.93491124260355,10,E10,0,1,0,0.5074000000000001,0.8519246000000001
12.3,5.4,58,21.93491124260355,13,E10,0,0,0,0.6642,1.1151918
12.4,4.3,49,21.93491124260355,17,E10,0,0,0,0.5332,0.8952428
7.0,5.2,25,21.93491124260355,17,E10,0,0,0,0.364,0.611156
11.8,4.1,37,21.93491124260355,10,E10,0,0,0,0.48379999999999995,0.8123001999999999
20.1,4.4,41,21.93491124260355,18,E10,0,0,0,0.8844000000000001,1.4849076
20.8,4.5,45,21.93491124260355,10,E10,0,0,0,0.936,1.571544
1.7,10.8,14,21.93491124260355,10,E10,0,1,0,0.18359999999999999,0.3082644
35.9,4.7,45,21.93491124260355,12,E10,0,0,0,1.6872999999999998,2.8329766999999997
36.9,4.8,52,21.93491124260355,5,E10,0,0,0,1.7711999999999997,2.9738447999999997
16.8,4.0,46,21.93491124260355,8,E10,0,0,0,0.672,1.1282880000000002
9.9,5.0,28,21.93491124260355,9,E10,0,0,0,0.495,0.831105
22.9,4.6,61,21.93491124260355,7,E10,0,1,0,1.0534,1.7686586
17.3,5.0,61,21.93491124260355,6,E10,1,1,0,0.865,1.452335
11.8,4.3,37,21.93491124260355,7,E10,0,0,0,0.5074000000000001,0.8519246000000001
36.6,5.2,80,21.93491124260355,7,E10,0,1,0,1.9032000000000002,3.1954728000000006
44.9,4.7,62,21.93491124260355,8,E10,0,0,0,2.1103,3.5431937000000002
11.8,4.2,34,21.93491124260355,9,E10,0,1,0,0.49560000000000004,0.8321124000000001
21.6,5.3,44,21.93491124260355,9,E10,0,1,0,1.1448,1.9221192
39.4,5.3,60,21.93491124260355,9,E10,0,1,0,2.0882,3.5060878
5.1,8.1,39,21.93491124260355,4,E10,0,0,0,0.41309999999999997,0.6935949
26.6,4.8,38,21.93491124260355,7,E10,0,0,0,1.2768000000000002,2.1437472000000004
53.2,5.1,71,21.93491124260355,2,E10,0,0,0,2.7132,4.5554628
18.9,4.4,53,21.93491124260355,2,E10,0,0,0,0.8316,1.3962564
43.5,5.0,80,21.93491124260355,3,E10,0,0,0,2.175,3.6518249999999997
6.1,6.3,26,21.93491124260355,5,E10,0,0,0,0.3843,0.6452397
16.4,4.8,49,21.93491124260355,5,E10,0,0,0,0.7871999999999999,1.3217088
12.3,6.1,40,21.93491124260355,6,E10,0,0,0,0.7503,1.2597537
21.1,4.6,36,21.93491124260355,8,E10,0,0,0,0.9706,1.6296374
21.1,4.8,43,21.93491124260355,7,E10,0,0,0,1.0128,1.7004911999999999
22.7,4.7,55,21.93491124260355,6,E10,0,0,0,1.0669,1.7913251
44.4,4.8,38,21.93491124260355,8,E10,0,0,0,2.1311999999999998,3.5782847999999996
35.8,4.4,51,21.93491124260355,6,E10,0,0,0,1.5752000000000002,2.6447608000000002
11.8,4.9,44,21.93491124260355,0,E10,0,0,0,0.5782,0.9707978000000002
26.2,4.9,42,21.93491124260355,6,E10,0,0,0,1.2838,2.1555002
40.6,4.4,44,21.0,3,E10,0,0,0,1.7864000000000002,2.9993656000000004
12.4,5.3,38,21.0,-5,E10,0,0,0,0.6572,1.1034388
14.1,5.3,47,21.0,-3,E10,0,0,0,0.7472999999999999,1.2547166999999997
58.7,4.8,75,21.0,0,E10,0,0,0,2.8176,4.730750400000001
16.2,5.2,29,21.0,0,E10,0,0,0,0.8423999999999999,1.4143896
12.3,4.9,50,21.93491124260355,0,E10,0,0,0,0.6027000000000001,1.0119333000000001
12.3,7.1,52,21.93491124260355,0,E10,1,1,0,0.8733,1.4662707
12.4,5.2,51,21.93491124260355,1,E10,0,0,0,0.6448,1.0826192000000001
31.8,4.7,59,21.93491124260355,3,E10,0,0,0,1.4946000000000002,2.5094334000000003
