distance,consume,speed,temp_inside,temp_outside,gas_type,AC,rain,sun,fuel_consumed,cost
12.3,5.1,55,21.93491124260355,8,E10,0,0,0,0.6273,1.0532367
51.6,5.0,73,21.93491124260355,12,E10,0,0,0,2.58,4.3318200000000004
38.6,4.6,44,21.93491124260355,10,E10,0,0,0,1.7756,2.9812324
12.3,4.8,41,21.93491124260355,7,E10,0,0,0,0.5904,0.9912816000000001
81.2,4.4,69,22.0,13,E10,0,0,0,3.5728000000000004,5.998731200000001
130.3,4.6,85,22.0,12,E10,0,0,0,5.9938,10.0635902
67.2,4.3,67,22.0,18,E10,0,0,0,2.8895999999999997,4.8516384
43.7,4.7,44,22.0,9,SP98,0,1,0,2.0539,3.5039534
12.1,4.2,43,22.0,4,SP98,0,0,0,0.5082,0.8669891999999999
56.1,4.8,82,22.0,13,SP98,0,0,0,2.6927999999999996,4.5939168
39.0,4.1,61,22.0,16,SP98,0,0,0,1.5989999999999998,2.7278939999999996
11.8,4.5,41,21.93491124260355,13,SP98,0,0,0,0.531,0.9058860000000001
38.5,4.8,63,21.93491124260355,14,SP98,0,0,0,1.8479999999999999,3.1526879999999995
28.2,4.6,54,21.93491124260355,14,SP98,0,0,0,1.2972,2.2130232
2.9,7.4,24,21.93491124260355,14,SP98,0,0,0,0.2146,0.36610760000000003
6.1,5.6,24,21.93491124260355,13,SP98,0,0,0,0.34159999999999996,0.5827695999999999
19.6,4.9,43,21.93491124260355,13,SP98,0,0,0,0.9604000000000003,1.6384424000000004
22.2,3.8,42,21.93491124260355,15,SP98,0,0,0,0.8436,1.4391816
13.6,4.5,44,19.0,18,SP98,0,0,0,0.612,1.044072
12.6,4.1,33,21.93491124260355,17,SP98,0,0,0,0.5166,0.8813195999999999
8.7,5.3,28,21.93491124260355,12,SP98,1,1,0,0.4610999999999999,0.7866365999999998
7.9,4.7,31,21.93491124260355,12,SP98,1,0,0,0.3713,0.6334378
2.4,9.0,26,20.0,10,SP98,0,0,0,0.21599999999999997,0.36849599999999993
4.9,6.3,26,20.0,10,SP98,0,0,0,0.30870000000000003,0.5266422000000001
18.1,3.6,36,20.0,19,SP98,0,0,0,0.6516000000000001,1.1116296
25.9,3.7,39,20.0,21,SP98,0,0,0,0.9582999999999999,1.6348597999999999
1.3,11.5,21,20.0,10,SP98,0,0,0,0.14950000000000002,0.255047
14.1,5.0,22,20.0,12,SP98,0,0,0,0.705,1.2027299999999999
13.4,5.5,31,20.0,9,SP98,0,0,0,0.737,1.257322
6.4,4.7,33,20.0,8,SP98,0,0,0,0.3008,0.5131648
12.9,4.5,42,20.0,13,SP98,0,0,0,0.5805,0.990333
12.1,4.4,33,21.93491124260355,5,SP98,0,0,0,0.5324,0.9082743999999999
15.7,4.1,32,21.93491124260355,13,SP98,0,0,0,0.6436999999999999,1.0981522
16.2,4.4,26,21.93491124260355,11,SP98,0,0,0,0.7128,1.2160368
12.8,4.6,22,21.93491124260355,12,SP98,0,0,0,0.5888,1.0044928
19.0,4.4,58,21.93491124260355,17,SP98,0,0,1,0.8360000000000001,1.4262160000000002
29.0,4.0,27,21.93491124260355,12,SP98,0,0,0,1.16,1.9789599999999998
12.1,5.0,32,21.93491124260355,9,SP98,0,0,0,0.605,1.03213
12.3,5.2,55,21.93491124260355,10,SP98,0,0,0,0.6396000000000001,1.0911576
24.8,4.0,56,21.93491124260355,11,SP98,0,0,0,0.992,1.6923519999999999
12.9,5.1,34,21.93491124260355,8,SP98,0,1,0,0.6578999999999999,1.1223773999999997
11.8,4.5,39,21.93491124260355,3,SP98,0,0,0,0.531,0.9058860000000001
31.4,4.6,62,21.93491124260355,11,SP98,0,0,0,1.4443999999999997,2.4641463999999993
19.0,5.1,53,21.93491124260355,4,SP98,0,1,0,0.9689999999999999,1.6531139999999998
13.0,5.7,38,21.93491124260355,3,SP98,1,1,0,0.7410000000000001,1.2641460000000002
11.8,4.8,42,21.93491124260355,2,SP98,0,0,0,0.5664,0.9662784
13.0,6.2,32,21.93491124260355,4,SP98,0,0,0,0.806,1.3750360000000001
11.8,5.0,43,21.93491124260355,1,SP98,0,0,0,0.59,1.00654
27.1,5.0,69,21.93491124260355,8,SP98,0,0,0,1.355,2.31163
5.2,4.6,38,21.93491124260355,8,SP98,0,0,0,0.23919999999999997,0.4080751999999999
19.0,4.5,29,21.93491124260355,10,E10,0,0,0,0.855,1.435545
12.4,4.8,38,21.93491124260355,1,E10,0,0,0,0.5952,0.9993407999999999
25.2,5.0,55,21.93491124260355,9,E10,0,0,0,1.26,2.11554
14.3,4.8,36,21.93491124260355,10,E10,0,0,0,0.6864,1.1524656
11.8,4.6,40,21.93491124260355,2,E10,0,0,0,0.5428000000000001,0.9113612000000001
16.9,4.5,48,21.93491124260355,9,E10,0,0,1,0.7605,1.2768795
12.4,4.6,55,21.93491124260355,11,E10,0,0,1,0.5704,0.9577016
17.4,4.4,36,21.93491124260355,12,E10,0,0,1,0.7656000000000001,1.2854424000000002
9.2,5.7,33,21.93491124260355,8,E10,0,1,0,0.5244,0.8804676
12.3,5.8,54,21.93491124260355,10,E10,0,1,0,0.7134,1.1977986
13.0,5.9,32,21.93491124260355,10,E10,0,0,0,0.767,1.287793
11.8,6.1,16,21.93491124260355,6,E10,0,1,0,0.7198,1.2085442
13.0,5.7,37,21.93491124260355,11,E10,0,1,0,0.7410000000000001,1.244139
12.3,5.0,42,21.93491124260355,10,E10,0,0,0,0.615,1.032585
12.3,5.2,57,21.93491124260355,15,E10,0,0,1,0.6396000000000001,1.0738884000000002
12.5,4.3,57,21.93491124260355,16,E10,0,0,1,0.5375,0.9024625
31.5,4.1,30,21.93491124260355,16,E10,0,0,1,1.2914999999999999,2.1684284999999996
11.8,4.4,42,21.93491124260355,8,E10,0,0,0,0.5192000000000001,0.8717368000000002
24.9,4.5,53,21.93491124260355,14,E10,0,0,0,1.1205,1.8813195
17.0,3.9,46,21.93491124260355,14,E10,0,0,1,0.6629999999999999,1.1131769999999999
2.0,8.1,20,21.93491124260355,14,E10,0,0,0,0.162,0.271998
11.8,4.4,33,21.93491124260355,8,E10,0,0,0,0.5192000000000001,0.8717368000000002
7.4,5.0,31,21.93491124260355,12,E10,0,0,0,0.37,0.6212300000000001
12.4,4.7,55,21.93491124260355,14,E10,0,0,1,0.5828,0.9785212
2.0,6.0,22,21.93491124260355,14,E10,0,0,0,0.12,0.20148
14.0,5.0,41,21.93491124260355,8,E10,0,0,0,0.7,1.1753
25.7,5.0,45,21.93491124260355,7,E10,0,0,0,1.285,2.157515
24.5,3.9,50,21.93491124260355,15,E10,0,0,1,0.9555,1.6042845000000001
11.8,4.5,28,21.93491124260355,12,E10,0,0,0,0.531,0.891549
4.1,5.4,24,21.93491124260355,13,E10,0,0,0,0.2214,0.3717306
4.2,5.6,29,22.0,17,E10,0,0,0,0.2352,0.3949008
4.2,3.9,29,22.0,18,E10,0,0,1,0.1638,0.2750202
16.0,4.0,40,22.0,10,E10,0,0,0,0.64,1.07456
22.9,4.0,29,21.93491124260355,21,E10,0,0,0,0.9159999999999999,1.5379639999999999
16.0,3.8,42,21.93491124260355,8,E10,0,0,0,0.608,1.020832
15.4,4.5,50,22.0,14,E10,0,0,0,0.693,1.1635469999999999
16.0,3.8,41,22.0,12,E10,0,0,0,0.608,1.020832
4.2,5.6,32,22.0,18,E10,0,0,0,0.2352,0.3949008
101.9,5.2,75,22.0,18,E10,0,0,0,5.2988,8.8966852
93.9,4.8,88,23.0,18,E10,1,0,1,4.5072,7.5675888
25.7,4.9,50,22.0,10,SP98,0,1,0,1.2593,2.1483658
16.0,4.1,40,22.0,10,SP98,0,0,0,0.6559999999999999,1.119136
16.1,4.5,32,22.0,19,SP98,0,0,0,0.7245,1.235997
16.0,4.4,40,22.0,7,SP98,1,1,0,0.7040000000000001,1.201024
16.0,4.5,41,22.0,11,SP98,0,0,0,0.72,1.2283199999999999
24.7,4.5,26,22.0,10,SP98,0,0,0,1.1115,1.8962189999999999
16.0,3.9,42,22.0,8,SP98,0,0,0,0.624,1.064544
15.4,4.6,43,22.0,16,SP98,0,0,0,0.7083999999999999,1.2085304
16.0,3.8,40,22.0,8,SP98,0,0,0,0.608,1.037248
32.1,4.5,50,22.0,16,SP98,0,0,0,1.4445000000000001,2.4643170000000003
25.9,4.4,40,22.0,14,SP98,0,0,0,1.1396000000000002,1.9441576000000003
48.6,4.3,44,22.0,12,SP98,0,0,0,2.0898,3.5651987999999997
37.2,4.0,45,22.0,20,SP98,0,0,1,1.4880000000000002,2.5385280000000003
28.8,3.9,35,22.0,15,SP98,0,0,1,1.1232,1.9161792
6.7,5.0,30,22.0,17,SP98,0,0,0,0.335,0.5715100000000001
7.4,4.1,25,22.0,18,SP98,0,0,1,0.3034,0.5176004
17.3,4.1,22,22.0,25,SP98,0,0,1,0.7092999999999999,1.2100657999999997
6.6,5.6,43,22.0,16,SP98,0,0,0,0.36959999999999993,0.6305375999999998
14.3,4.1,26,22.0,20,SP98,0,0,0,0.5862999999999999,1.0002277999999998
13.3,4.6,33,22.0,18,SP98,0,0,0,0.6118,1.0437308
8.3,4.9,26,22.0,23,SP98,0,0,0,0.40670000000000006,0.6938302000000001
12.7,4.5,39,22.0,27,SP98,0,0,1,0.5715,0.974979
16.5,4.1,47,22.0,14,SP98,0,0,0,0.6764999999999999,1.1541089999999998
20.6,4.1,38,22.0,21,SP98,0,0,0,0.8445999999999999,1.4408875999999997
16.3,4.5,58,22.0,16,SP98,0,0,0,0.7335,1.251351
18.7,4.2,65,25.0,18,SP98,1,0,1,0.7854000000000001,1.3398924
36.5,3.9,54,23.0,18,SP98,0,0,1,1.4235,2.4284909999999997
19.0,5.0,35,22.0,15,SP98,1,0,1,0.95,1.6206999999999998
16.6,4.4,46,22.0,5,SP98,1,0,0,0.7304,1.2460624
29.9,4.5,32,22.0,18,SP98,1,0,0,1.3455,2.295423
16.0,3.8,42,22.0,11,SP98,0,0,0,0.608,1.037248
21.1,5.1,33,22.0,10,SP98,0,1,0,1.0761,1.8358266
16.0,3.9,40,22.0,10,SP98,0,0,0,0.624,1.064544
11.9,5.3,34,22.0,13,SP98,0,0,0,0.6307,1.0759742
10.1,4.2,35,22.0,16,SP98,0,0,0,0.4242,0.7236852
31.9,4.3,33,22.0,16,SP98,0,0,0,1.3717,2.3401202
18.7,4.0,60,22.0,13,SP98,0,0,0,0.748,1.276088
10.8,4.7,48,22.0,17,SP98,0,0,1,0.5076,0.8659656000000001
19.8,4.0,56,22.0,17,SP98,0,0,1,0.792,1.3511520000000001
11.3,4.3,38,22.0,17,SP98,0,0,0,0.48590000000000005,0.8289454
11.5,5.3,53,22.0,15,SP98,0,0,0,0.6094999999999999,1.039807
21.4,5.2,51,22.0,13,SP98,0,0,0,1.1128,1.8984368
32.0,4.9,53,22.0,15,SP98,0,0,0,1.568,2.675008
41.9,4.7,53,22.0,14,SP98,0,0,0,1.9693,3.3596258
211.0,4.6,80,22.0,20,SP98,0,0,0,9.706,16.558436
216.1,5.3,90,22.0,21,SP98,0,0,1,11.453299999999999,19.539329799999997
25.5,3.6,27,22.0,27,SP98,0,0,1,0.9179999999999999,1.5661079999999998
16.6,4.2,52,22.0,15,SP98,0,1,0,0.6972000000000002,1.1894232000000002
25.9,4.1,43,22.0,24,SP98,0,0,0,1.0618999999999998,1.8116013999999996
16.5,4.0,48,22.0,15,SP98,0,0,0,0.66,1.12596
22.1,3.9,29,22.0,26,SP98,0,0,0,0.8619,1.4704013999999999
16.6,3.7,49,22.0,17,E10,0,0,0,0.6142000000000001,1.0312418
15.4,4.5,43,22.0,24,E10,0,0,0,0.693,1.1635469999999999
16.5,3.9,43,22.0,17,E10,0,0,0,0.6435,1.0804365
15.4,5.1,21,22.0,24,E10,0,0,0,0.7853999999999999,1.3186866
18.4,4.2,59,22.0,24,E10,0,0,0,0.7728,1.2975312
39.5,4.2,58,22.0,25,E10,0,0,0,1.659,2.785461
21.5,4.8,47,25.0,27,E10,1,0,1,1.032,1.732728
4.8,4.7,26,25.0,18,E10,0,0,0,0.2256,0.3787824
100.9,4.7,87,21.93491124260355,22,E10,0,0,0,4.7423,7.9623217
129.7,4.6,58,24.0,21,E10,0,0,0,5.966199999999999,10.017249799999998
16.6,3.8,43,21.93491124260355,16,E10,0,0,0,0.6308,1.0591132
15.4,4.2,50,21.93491124260355,21,E10,0,0,0,0.6468,1.0859772
16.0,3.7,45,22.0,17,E10,0,0,0,0.5920000000000001,0.9939680000000002
16.0,4.2,41,22.0,15,E10,0,0,0,0.672,1.1282880000000002
15.4,4.1,45,22.0,24,E10,0,0,0,0.6314,1.0601205999999999
16.0,4.0,43,22.0,16,E10,0,0,0,0.64,1.07456
21.0,3.8,37,22.0,21,E10,0,0,0,0.7979999999999999,1.339842
15.4,3.8,47,22.0,24,E10,0,0,0,0.5851999999999999,0.9825508
16.0,3.8,42,22.0,17,E10,0,0,0,0.608,1.020832
16.1,5.1,30,25.0,16,E10,1,1,0,0.8210999999999999,1.3786269
16.0,4.0,42,22.0,15,E10,0,0,0,0.64,1.07456
15.4,4.8,40,22.0,18,E10,0,0,0,0.7392,1.2411168
17.2,3.9,35,22.0,16,E10,0,0,0,0.6708,1.1262732
16.6,4.6,50,22.0,25,E10,0,0,0,0.7636,1.2820844
18.3,4.3,46,22.0,16,SP98,0,0,0,0.7868999999999999,1.3424513999999999
16.1,4.8,36,22.0,18,SP98,0,1,0,0.7728,1.3183968000000001
16.0,4.1,46,22.0,17,SP98,0,0,0,0.6559999999999999,1.119136
16.3,4.0,35,22.0,23,SP98,0,0,0,0.652,1.112312
16.0,3.7,44,22.0,16,SP98,0,0,0,0.5920000000000001,1.0099520000000002
18.3,4.3,46,22.0,23,SP98,0,0,0,0.7868999999999999,1.3424513999999999
4.5,5.2,23,22.0,23,SP98,0,0,1,0.234,0.399204
17.0,4.2,48,22.0,16,SP98,0,0,0,0.7140000000000001,1.2180840000000002
6.1,5.0,35,21.93491124260355,18,SP98,0,0,0,0.305,0.52033
6.1,5.0,33,22.0,24,SP98,0,0,1,0.305,0.52033
17.3,4.2,36,22.0,22,SP98,0,0,0,0.7266000000000001,1.2395796000000001
6.0,4.8,27,22.0,17,SP98,0,0,0,0.288,0.49132799999999993
16.0,4.1,45,22.0,15,SP98,0,0,0,0.6559999999999999,1.119136
15.4,4.9,55,22.0,18,SP98,0,0,0,0.7546,1.2873476000000001
15.4,4.3,39,22.0,23,SP98,0,0,0,0.6622,1.1297132
16.0,3.9,35,22.0,18,SP98,0,0,0,0.624,1.064544
15.4,4.5,52,22.0,26,SP98,0,0,0,0.693,1.1822579999999998
16.6,4.1,48,21.93491124260355,30,SP98,1,0,1,0.6806,1.1611036
15.4,5.0,48,21.93491124260355,31,SP98,1,0,0,0.77,1.31362
16.0,4.0,43,22.0,21,SP98,1,0,0,0.64,1.09184
15.4,4.5,42,22.0,30,SP98,0,0,0,0.693,1.1822579999999998
16.0,3.6,43,22.0,19,SP98,0,0,0,0.5760000000000001,0.9826560000000001
20.9,4.1,33,22.0,21,SP98,0,0,0,0.8568999999999999,1.4618713999999997
32.1,3.9,47,22.0,26,SP98,0,0,0,1.2519,2.1357414
15.3,6.6,16,24.0,27,SP98,1,0,0,1.0098,1.7227188
28.5,4.0,44,25.0,23,SP98,1,0,0,1.14,1.9448399999999997
11.9,3.7,33,25.0,19,SP98,0,0,0,0.4403,0.7511518
14.5,4.3,36,25.0,22,SP98,0,0,0,0.6234999999999999,1.063691
16.6,4.1,49,22.0,26,SP98,0,0,1,0.6806,1.1611036
16.2,4.4,39,21.93491124260355,17,SP98,1,0,0,0.7128,1.2160368
16.7,3.8,44,21.93491124260355,23,SP98,0,0,1,0.6345999999999999,1.0826276
8.3,5.0,52,21.93491124260355,27,SP98,0,0,0,0.415,0.7079899999999999
5.5,3.7,33,21.93491124260355,28,SP98,0,0,1,0.20350000000000001,0.347171
13.6,3.7,33,21.93491124260355,28,SP98,0,0,1,0.5032,0.8584592
16.0,3.7,39,21.93491124260355,18,SP98,0,0,0,0.5920000000000001,1.0099520000000002
16.1,4.3,38,25.0,31,SP98,1,0,0,0.6923,1.1810638
16.0,3.8,45,25.0,19,SP98,0,0,0,0.608,1.037248
15.4,4.6,42,25.0,31,SP98,1,0,0,0.7083999999999999,1.2085304
14.7,5.0,25,25.0,30,SP98,1,0,0,0.735,1.2539099999999999
