distance,consume,speed,temp_inside,temp_outside,gas_type,ac,rain,sun,consume_pred
28.0,5.0,26,21.5,12,E10,0,0,0,4.468459523809523
12.0,4.2,30,21.5,13,E10,0,0,0,4.480152380952381
11.2,5.5,38,21.5,15,E10,0,0,0,4.999559523809524
12.9,3.9,36,21.5,14,E10,0,0,0,4.637108333333334
18.5,4.5,46,21.5,15,E10,0,0,0,4.3295499999999985
8.3,6.4,50,21.5,10,E10,0,0,0,4.60407857142857
7.8,4.4,43,21.5,11,E10,0,0,0,4.611609523809521
12.3,5.0,40,21.5,6,E10,0,0,0,5.151219444444443
4.9,6.4,26,21.5,4,E10,0,0,0,6.771967857142857
11.9,5.3,30,21.5,9,E10,0,0,0,4.819042460317459
12.4,5.6,42,21.5,4,E10,0,0,0,5.325355158730158
11.8,4.6,38,21.5,0,E10,0,0,0,4.645910714285717
12.3,5.9,59,21.5,10,E10,0,0,0,5.765204761904762
24.7,5.1,58,21.5,12,E10,0,0,0,4.804809523809523
12.4,4.7,46,21.5,11,E10,0,0,0,4.713778571428573
17.3,5.1,24,21.5,5,E10,0,0,0,5.41220476190476
33.4,5.6,36,21.5,3,E10,0,0,0,5.257747619047618
11.8,5.1,32,21.5,3,E10,0,0,0,4.930683333333334
25.9,4.9,39,21.5,8,E10,0,0,0,4.7911349206349225
11.8,4.7,40,21.5,4,E10,0,0,0,4.599150000000002
25.3,5.5,32,21.5,3,E10,0,0,0,5.417221428571429
14.2,5.9,38,21.5,1,E10,0,0,0,5.605151587301588
17.9,5.7,37,21.5,1,E10,0,0,0,5.395902380952379
11.8,4.7,36,21.5,1,E10,0,0,0,4.758445238095239
12.3,5.9,62,21.5,6,E10,0,0,0,5.6803928571428575
12.4,4.1,57,21.5,9,E10,0,0,0,4.636303968253967
18.4,5.7,21,22.5,2,E10,0,0,0,5.693367063492061
18.4,5.8,28,21.5,3,E10,0,0,0,5.58455476190476
18.3,5.5,29,21.5,1,E10,0,0,0,5.465165873015873
18.4,5.7,35,21.5,4,E10,0,0,0,5.488264285714285
12.3,5.3,51,21.5,11,E10,0,0,0,4.988640476190475
11.8,5.0,29,21.5,10,E10,0,0,0,4.804146031746033
12.3,5.6,58,21.5,8,E10,0,0,0,5.5865277777777775
32.6,4.8,40,21.5,7,E10,0,0,0,4.750460714285715
19.0,4.3,36,21.5,7,E10,0,0,0,4.641409523809522
12.1,5.7,36,21.5,8,E10,0,0,0,5.103551587301586
20.0,5.2,37,21.5,4,E10,0,0,0,5.318885714285714
4.9,7.4,26,21.5,6,E10,0,0,0,6.9496761904761915
11.8,4.8,23,21.5,9,E10,0,0,0,5.029375793650794
12.3,6.5,58,21.5,7,E10,0,0,0,5.558226190476189
12.4,4.0,55,21.5,7,E10,1,1,0,4.7109666666666685
4.5,5.0,29,21.5,7,E10,1,0,0,5.852959523809524
11.7,4.6,37,21.5,6,E10,0,0,0,4.537780952380953
10.2,4.3,44,21.5,7,E10,0,0,0,4.3921142857142845
5.4,3.3,32,21.5,7,SP98,0,0,0,4.42747857142857
2.0,9.9,21,21.5,4,SP98,0,0,0,8.773189285714283
14.2,5.1,32,21.5,7,SP98,0,0,0,5.33635595238095
16.0,4.9,25,21.5,8,SP98,0,0,0,4.928139285714284
11.8,4.9,25,21.5,11,SP98,0,0,0,4.936096825396826
27.3,4.7,36,21.5,10,SP98,0,0,0,4.722650000000002
11.8,5.1,29,21.5,5,SP98,0,1,0,5.159464682539684
10.6,4.9,63,21.5,6,SP98,0,0,0,4.882461904761905
11.6,4.2,61,21.5,7,SP98,0,0,0,4.812505952380953
13.1,6.1,46,21.5,6,SP98,0,1,0,5.617922619047616
6.1,6.4,28,21.5,8,SP98,0,0,0,5.489383333333335
153.5,4.9,82,21.5,3,SP98,0,1,0,5.282198160173159
11.8,4.9,24,21.5,7,SP98,0,0,0,5.253894047619046
12.3,6.2,61,21.5,8,SP98,0,0,0,5.651045634920634
12.4,4.2,57,21.5,8,SP98,0,0,0,4.610177777777776
12.3,5.7,52,21.5,8,SP98,0,1,0,5.545332539682537
2.9,7.9,18,21.5,9,SP98,1,1,0,8.6573619047619
2.1,12.2,23,21.5,9,SP98,1,1,0,9.657007142857141
9.8,5.8,24,21.5,6,SP98,0,0,0,5.582164285714287
6.8,5.3,26,21.5,6,SP98,0,0,0,5.469970238095239
12.4,5.4,24,21.5,7,SP98,0,0,0,5.371052380952379
12.4,4.7,57,21.5,8,SP98,0,0,0,4.610177777777776
11.8,4.6,41,21.5,6,SP98,0,0,0,4.599150000000002
12.3,5.4,55,21.5,8,SP98,0,0,0,5.242934920634919
14.0,4.3,40,21.5,8,SP98,0,0,0,4.7205369047619055
11.8,4.5,37,21.5,4,SP98,1,0,0,4.545819047619048
12.3,5.2,55,21.5,12,SP98,0,0,0,5.06083095238095
2.0,6.2,20,21.5,10,SP98,0,0,0,8.010402380952378
13.9,5.1,29,21.5,6,SP98,0,0,0,5.437151587301584
9.7,3.9,42,21.5,8,SP98,0,0,0,4.523335714285711
11.6,5.0,25,21.5,6,SP98,0,0,0,5.263367857142855
14.2,5.4,38,21.5,7,SP98,0,0,0,5.148855952380952
11.8,4.5,39,21.5,6,SP98,0,0,0,4.579035714285715
24.8,5.1,50,21.5,9,SP98,0,0,0,4.788223015873016
12.4,4.7,56,21.5,7,SP98,0,0,0,4.717896825396825
34.8,4.0,28,20.0,4,SP98,0,0,0,4.733094047619049
14.2,5.4,36,20.0,6,SP98,0,0,0,5.338346428571426
5.2,4.5,39,20.0,10,SP98,0,0,0,4.629271428571429
10.5,3.6,42,20.0,10,SP98,0,0,0,4.513330952380949
12.3,5.2,57,20.0,10,SP98,0,0,0,5.23283095238095
11.8,4.9,25,20.0,11,SP98,0,0,0,4.967030158730159
12.3,6.2,58,20.0,11,SP98,0,1,0,5.830599999999997
13.2,4.3,51,20.0,11,SP98,0,1,0,4.712
13.0,5.0,45,20.0,11,SP98,0,1,0,4.909300000000001
12.9,5.1,32,20.0,11,SP98,0,0,0,5.0632261904761915
13.9,5.6,22,20.0,8,SP98,0,0,0,5.448445238095239
11.8,4.3,37,20.0,6,SP98,0,0,0,4.587292857142857
12.2,5.8,60,20.0,11,SP98,0,0,0,5.582057142857142
12.5,4.0,51,20.0,13,SP98,0,0,0,4.303935714285715
12.4,4.7,43,21.929521276595743,10,SP98,0,0,0,4.7452916666666685
11.8,5.9,21,20.0,9,SP98,1,1,0,5.266476984126984
11.8,5.3,52,21.929521276595743,11,SP98,0,0,0,5.017403571428572
12.5,4.2,57,20.0,11,SP98,0,0,0,4.47093968253968
15.7,5.3,33,21.929521276595743,9,SP98,0,0,0,5.074170238095239
12.9,5.7,35,21.929521276595743,9,SP98,0,0,0,5.249326190476193
6.4,4.4,37,21.929521276595743,10,SP98,0,0,0,4.482411904761903
5.3,4.1,34,21.929521276595743,9,SP98,0,0,0,4.211673809523807
26.2,5.8,71,21.0,8,SP98,1,1,0,5.365608874458875
18.8,5.0,62,21.929521276595743,9,SP98,0,1,0,5.152881096681098
4.9,6.9,25,21.0,12,SP98,0,1,0,6.63000357142857
12.4,5.4,18,21.0,11,SP98,1,1,0,5.318838095238095
22.9,5.3,45,20.5,7,SP98,0,0,0,5.065957142857141
162.7,5.5,75,23.0,1,SP98,0,0,0,5.196522619047621
4.9,6.5,26,21.0,1,SP98,0,0,0,6.530897619047618
11.8,4.7,36,21.0,4,SP98,0,0,0,4.676207142857143
16.6,5.1,56,21.0,7,SP98,0,0,0,4.841780952380954
12.4,5.7,37,21.0,7,SP98,0,0,0,5.020392857142856
15.9,5.4,25,21.0,7,SP98,0,0,0,5.2327773809523785
5.1,8.7,21,23.5,5,SP98,0,0,0,7.515614285714284
22.4,4.9,66,20.5,7,SP98,0,0,0,5.0954297619047635
31.1,4.7,42,20.5,7,SP98,0,0,0,4.882160714285715
4.9,6.3,27,20.5,3,SP98,0,0,0,6.421305952380951
11.8,5.1,26,23.0,4,SP98,0,1,0,5.478290873015875
22.9,6.0,42,23.0,4,SP98,0,1,0,5.4879874458874465
12.4,4.6,38,23.0,1,SP98,0,1,0,5.126591666666666
12.9,5.8,40,23.0,4,SP98,0,0,0,5.587064285714286
11.8,5.1,43,23.0,0,SP98,0,0,0,4.858620238095238
12.2,5.8,58,23.0,2,SP98,0,0,0,5.569942857142856
24.8,4.6,55,23.0,3,SP98,0,0,0,4.894127380952381
14.2,5.6,24,23.0,8,SP98,0,0,0,5.541702777777779
11.8,4.6,38,23.0,0,SP98,0,1,0,4.839477777777778
12.2,6.3,57,23.0,0,SP98,0,1,0,5.754245238095235
24.7,5.5,56,25.0,1,SP98,0,0,0,4.9610488095238106
6.8,4.3,46,24.0,2,SP98,0,0,0,4.598285714285716
17.3,5.6,37,21.5,1,SP98,0,0,0,5.40025238095238
11.8,4.3,44,21.5,-3,SP98,0,0,0,4.555582142857145
15.9,5.7,46,21.5,5,SP98,0,0,0,5.305488492063493
5.1,6.4,39,21.5,4,SP98,0,0,0,6.898665476190478
16.1,4.5,33,21.5,6,SP98,0,0,0,4.795166666666665
11.8,4.5,43,21.5,3,SP98,0,0,0,4.535223809523809
4.2,6.0,26,21.5,5,SP98,0,0,0,6.1037523809523835
17.4,5.1,30,21.5,5,SP98,0,0,0,5.1242730158730145
23.5,6.0,25,21.5,5,SP98,0,1,0,5.569527380952378
11.8,4.5,38,21.5,5,SP98,0,1,0,4.645279761904764
12.3,6.1,61,21.5,10,SP98,0,1,0,5.950235714285713
16.1,5.4,24,21.5,7,E10,0,1,0,5.238828571428573
11.8,4.3,40,21.5,10,E10,0,1,0,4.438330952380952
12.3,5.4,58,21.5,13,E10,0,0,0,5.090009523809523
12.4,4.3,49,21.5,17,E10,0,0,0,4.4064047619047635
7.0,5.2,25,21.5,17,E10,0,0,0,5.055397222222225
11.8,4.1,37,21.5,10,E10,0,0,0,4.299204761904758
20.1,4.4,41,21.5,18,E10,0,0,0,4.31087619047619
20.8,4.5,45,21.5,10,E10,0,0,0,4.599453968253967
1.7,10.8,14,21.5,10,E10,0,1,0,9.789690476190474
35.9,4.7,45,21.5,12,E10,0,0,0,4.602873809523809
36.9,4.8,52,21.5,5,E10,0,0,0,4.70684126984127
16.8,4.0,46,21.5,8,E10,0,0,0,4.273895238095236
9.9,5.0,28,21.5,9,E10,0,0,0,5.064875793650793
22.9,4.6,61,21.5,7,E10,0,1,0,5.309651731601732
17.3,5.0,61,21.5,6,E10,1,1,0,5.294532683982685
11.8,4.3,37,21.5,7,E10,0,0,0,4.335288095238093
36.6,5.2,80,21.5,7,E10,0,1,0,5.216442207792209
44.9,4.7,62,21.5,8,E10,0,0,0,4.786497619047619
11.8,4.2,34,21.5,9,E10,0,1,0,4.455216666666667
21.6,5.3,44,21.5,9,E10,0,1,0,5.090375541125541
39.4,5.3,60,21.5,9,E10,0,1,0,5.1582850649350656
5.1,8.1,39,21.5,4,E10,0,0,0,7.094988095238096
26.6,4.8,38,21.5,7,E10,0,0,0,4.827990476190478
53.2,5.1,71,21.5,2,E10,0,0,0,5.069082142857144
18.9,4.4,53,21.5,2,E10,0,0,0,5.067052380952381
43.5,5.0,80,21.5,3,E10,0,0,0,4.996827380952381
6.1,6.3,26,21.5,5,E10,0,0,0,5.521115476190479
16.4,4.8,49,21.5,5,E10,0,0,0,4.794003174603175
12.3,6.1,40,21.5,6,E10,0,0,0,5.151219444444443
21.1,4.6,36,21.5,8,E10,0,0,0,4.782411904761903
21.1,4.8,43,21.5,7,E10,0,0,0,4.812190476190476
22.7,4.7,55,21.5,6,E10,0,0,0,4.803877380952382
44.4,4.8,38,21.5,8,E10,0,0,0,4.723938492063494
35.8,4.4,51,21.5,6,E10,0,0,0,4.598906746031745
11.8,4.9,44,21.5,0,E10,0,0,0,4.572982142857145
26.2,4.9,42,21.5,6,E10,0,0,0,4.823607142857142
40.6,4.4,44,21.0,3,E10,0,0,0,4.731329365079365
12.4,5.3,38,21.0,-5,E10,0,0,0,5.219395238095237
14.1,5.3,47,21.0,-3,E10,0,0,0,5.399108333333334
58.7,4.8,75,21.0,0,E10,0,0,0,5.021420238095238
16.2,5.2,29,21.0,0,E10,0,0,0,5.271896825396824
12.3,4.9,50,22.5,0,E10,0,0,0,5.1921761904761885
12.3,7.1,52,22.5,0,E10,1,1,0,5.414836904761903
12.4,5.2,51,22.5,1,E10,0,0,0,5.125211904761906
31.8,4.7,59,22.5,3,E10,0,0,0,4.836496428571428
12.3,5.1,55,22.5,8,E10,0,0,0,5.155305158730158
51.6,5.0,73,22.5,12,E10,0,0,0,4.813553571428572
38.6,4.6,44,22.5,10,E10,0,0,0,4.622549206349208
12.3,4.8,41,22.5,7,E10,0,0,0,4.93124761904762
81.2,4.4,69,22.0,13,E10,0,0,0,4.556466666666666
130.3,4.6,85,22.0,12,E10,0,0,0,4.790354761904762
67.2,4.3,67,22.0,18,E10,0,0,0,4.417660714285713
43.7,4.7,44,22.0,9,SP98,0,1,0,4.8725374458874455
12.1,4.2,43,22.0,4,SP98,0,0,0,4.640394047619047
56.1,4.8,82,22.0,13,SP98,0,0,0,4.786164285714287
39.0,4.1,61,22.0,16,SP98,0,0,0,4.267433333333333
11.8,4.5,41,21.5,13,SP98,0,0,0,4.5976571428571456
38.5,4.8,63,21.5,14,SP98,0,0,0,4.653619047619048
28.2,4.6,54,21.5,14,SP98,0,0,0,4.638478571428574
2.9,7.4,24,21.5,14,SP98,0,0,0,8.332349999999998
6.1,5.6,24,21.5,13,SP98,0,0,0,5.382678571428572
19.6,4.9,43,21.5,13,SP98,0,0,0,4.642404761904762
22.2,3.8,42,21.929521276595743,15,SP98,0,0,0,3.9878309523809543
13.6,4.5,44,19.0,18,SP98,0,0,0,4.532030952380953
12.6,4.1,33,21.929521276595743,17,SP98,0,0,0,4.406034523809526
8.7,5.3,28,22.5,12,SP98,1,1,0,5.096108333333334
7.9,4.7,31,22.5,12,SP98,1,0,0,4.871111111111112
2.4,9.0,26,20.0,10,SP98,0,0,0,8.745616666666663
4.9,6.3,26,20.0,10,SP98,0,0,0,6.557329761904759
18.1,3.6,36,20.0,19,SP98,0,0,0,4.29535
25.9,3.7,39,20.0,21,SP98,0,0,0,3.970576984126984
1.3,11.5,21,20.0,10,SP98,0,0,0,9.898009523809518
14.1,5.0,22,20.0,12,SP98,0,0,0,5.105326190476192
13.4,5.5,31,20.0,9,SP98,0,0,0,5.403672619047618
6.4,4.7,33,20.0,8,SP98,0,0,0,4.765282142857143
12.9,4.5,42,20.0,13,SP98,0,0,0,4.526045238095242
12.1,4.4,33,22.5,5,SP98,0,0,0,4.775945238095237
15.7,4.1,32,22.5,13,SP98,0,0,0,4.360461904761904
16.2,4.4,26,22.5,11,SP98,0,0,0,4.484608333333332
12.8,4.6,22,22.5,12,SP98,0,0,0,5.094857142857145
19.0,4.4,58,22.5,17,SP98,0,0,1,4.255311111111111
29.0,4.0,27,22.5,12,SP98,0,0,0,4.241511904761905
12.1,5.0,32,22.5,9,SP98,0,0,0,5.068047619047619
12.3,5.2,55,22.5,10,SP98,0,0,0,5.201820238095239
24.8,4.0,56,22.5,11,SP98,0,0,0,4.423914285714286
12.9,5.1,34,22.5,8,SP98,0,1,0,5.26639642857143
11.8,4.5,39,22.5,3,SP98,0,0,0,4.573168253968253
31.4,4.6,62,22.5,11,SP98,0,0,0,4.636852380952382
19.0,5.1,53,22.5,4,SP98,0,1,0,5.269216810966811
13.0,5.7,38,22.5,3,SP98,1,1,0,5.5676357142857125
11.8,4.8,42,22.5,2,SP98,0,0,0,4.716838095238094
13.0,6.2,32,22.5,4,SP98,0,0,0,5.788423015873013
11.8,5.0,43,22.5,1,SP98,0,0,0,4.819353571428572
27.1,5.0,69,22.5,8,SP98,0,0,0,4.967291666666669
5.2,4.6,38,22.5,8,SP98,0,0,0,4.653380158730158
19.0,4.5,29,22.5,10,E10,0,0,0,4.5950380952380945
12.4,4.8,38,22.5,1,E10,0,0,0,5.025914285714285
25.2,5.0,55,22.5,9,E10,0,0,0,4.831159523809525
14.3,4.8,36,22.5,10,E10,0,0,0,5.156195238095238
11.8,4.6,40,22.5,2,E10,0,0,0,4.681689682539683
16.9,4.5,48,22.5,9,E10,0,0,1,4.410512698412699
12.4,4.6,55,22.5,11,E10,0,0,1,4.665969047619049
17.4,4.4,36,22.5,12,E10,0,0,1,4.349061507936507
9.2,5.7,33,22.5,8,E10,0,1,0,5.312459920634921
12.3,5.8,54,22.5,10,E10,0,1,0,5.541901190476187
13.0,5.9,32,22.5,10,E10,0,0,0,5.43052619047619
11.8,6.1,16,22.5,6,E10,0,1,0,5.787039682539682
13.0,5.7,37,22.5,11,E10,0,1,0,5.290560714285714
12.3,5.0,42,22.5,10,E10,0,0,0,4.98007142857143
12.3,5.2,57,22.5,15,E10,0,0,1,4.870633333333332
12.5,4.3,57,22.5,16,E10,0,0,1,4.440314285714286
31.5,4.1,30,22.5,16,E10,0,0,1,4.127861904761904
11.8,4.4,42,22.5,8,E10,0,0,0,4.554719047619048
24.9,4.5,53,22.5,14,E10,0,0,0,4.583094047619051
17.0,3.9,46,22.5,14,E10,0,0,1,4.028833333333333
2.0,8.1,20,22.5,14,E10,0,0,0,8.093619047619045
11.8,4.4,33,22.5,8,E10,0,0,0,4.798602777777778
7.4,5.0,31,22.5,12,E10,0,0,0,4.86852777777778
12.4,4.7,55,22.5,14,E10,0,0,1,4.707030952380952
2.0,6.0,22,22.5,14,E10,0,0,0,8.972564285714283
14.0,5.0,41,22.5,8,E10,0,0,0,4.843764285714289
25.7,5.0,45,22.5,7,E10,0,0,0,4.868878571428571
24.5,3.9,50,21.929521276595743,15,E10,0,0,1,4.157138095238094
11.8,4.5,28,22.5,12,E10,0,0,0,4.7446
4.1,5.4,24,22.5,13,E10,0,0,0,5.663335714285715
4.2,5.6,29,22.0,17,E10,0,0,0,5.443414285714288
4.2,3.9,29,22.0,18,E10,0,0,1,5.295616666666669
16.0,4.0,40,22.0,10,E10,0,0,0,4.021148809523809
22.9,4.0,29,21.929521276595743,21,E10,0,0,0,3.98540238095238
16.0,3.8,42,21.929521276595743,8,E10,0,0,0,3.9913666666666687
15.4,4.5,50,22.0,14,E10,0,0,0,4.569552380952382
16.0,3.8,41,22.0,12,E10,0,0,0,4.048126587301587
4.2,5.6,32,22.0,18,E10,0,0,0,5.295395238095241
101.9,5.2,75,22.0,18,E10,0,0,0,4.969866666666667
93.9,4.8,88,23.0,18,E10,1,0,1,4.810483333333334
25.7,4.9,50,22.0,10,SP98,0,1,0,4.851887445887446
16.0,4.1,40,22.0,10,SP98,0,0,0,4.064832142857143
16.1,4.5,32,22.0,19,SP98,0,0,0,4.311264682539683
16.0,4.4,40,22.0,7,SP98,1,1,0,4.471261904761906
16.0,4.5,41,22.0,11,SP98,0,0,0,4.147032142857142
24.7,4.5,26,22.0,10,SP98,0,0,0,4.515105952380952
16.0,3.9,42,22.0,8,SP98,0,0,0,4.011283333333335
15.4,4.6,43,22.0,16,SP98,0,0,0,4.5582928571428605
16.0,3.8,40,22.0,8,SP98,0,0,0,4.067640476190476
32.1,4.5,50,22.0,16,SP98,0,0,0,4.366180952380954
25.9,4.4,40,22.0,14,SP98,0,0,0,4.1256833333333365
48.6,4.3,44,22.0,12,SP98,0,0,0,4.43767380952381
37.2,4.0,45,22.0,20,SP98,0,0,1,3.9923948412698405
28.8,3.9,35,22.0,15,SP98,0,0,1,3.995488095238096
6.7,5.0,30,22.0,17,SP98,0,0,0,4.953034523809524
7.4,4.1,25,22.0,18,SP98,0,0,1,4.613556746031747
17.3,4.1,22,22.0,25,SP98,0,0,1,4.46149285714286
6.6,5.6,43,22.0,16,SP98,0,0,0,5.175033333333334
14.3,4.1,26,22.0,20,SP98,0,0,0,4.382919841269844
13.3,4.6,33,22.0,18,SP98,0,0,0,4.458259523809527
8.3,4.9,26,22.0,23,SP98,0,0,0,4.734849603174605
12.7,4.5,39,22.0,27,SP98,0,0,1,4.414859523809524
16.5,4.1,47,22.0,14,SP98,0,0,0,4.106711904761903
20.6,4.1,38,22.0,21,SP98,0,0,0,4.073264285714285
16.3,4.5,58,22.0,16,SP98,0,0,0,4.382614285714286
18.7,4.2,65,25.0,18,SP98,1,0,1,4.389985714285715
36.5,3.9,54,23.0,18,SP98,0,0,1,4.086130952380953
19.0,5.0,35,22.0,15,SP98,1,0,1,4.287383333333334
16.6,4.4,46,22.0,5,SP98,1,0,0,4.617059126984125
29.9,4.5,32,22.0,18,SP98,1,0,0,4.331304761904762
16.0,3.8,42,22.0,11,SP98,0,0,0,4.0238000000000005
21.1,5.1,33,22.0,10,SP98,0,1,0,4.925380952380953
16.0,3.9,40,22.0,10,SP98,0,0,0,4.064832142857143
11.9,5.3,34,22.0,13,SP98,0,0,0,4.789045238095238
10.1,4.2,35,22.0,16,SP98,0,0,0,4.5878071428571445
31.9,4.3,33,22.0,16,SP98,0,0,0,4.188578571428572
18.7,4.0,60,22.0,13,SP98,0,0,0,4.394999999999999
10.8,4.7,48,22.0,17,SP98,0,0,1,4.658911904761904
19.8,4.0,56,22.0,17,SP98,0,0,1,4.1333230158730165
11.3,4.3,38,22.0,17,SP98,0,0,0,4.599088095238097
11.5,5.3,53,22.0,15,SP98,0,0,0,4.924513095238096
21.4,5.2,51,22.0,13,SP98,0,0,0,4.770232142857144
32.0,4.9,53,22.0,15,SP98,0,0,0,4.582158333333334
41.9,4.7,53,22.0,14,SP98,0,0,0,4.574265476190477
211.0,4.6,80,22.0,20,SP98,0,0,0,4.963476190476191
216.1,5.3,90,22.0,21,SP98,0,0,1,4.966392857142859
25.5,3.6,27,22.0,27,SP98,0,0,1,3.8424174603174612
16.6,4.2,52,22.0,15,SP98,0,1,0,4.431164285714288
25.9,4.1,43,22.0,24,SP98,0,0,0,3.8788341269841267
16.5,4.0,48,22.0,15,SP98,0,0,0,4.073861904761904
22.1,3.9,29,22.0,26,SP98,0,0,0,3.9038023809523814
16.6,3.7,49,22.0,17,E10,0,0,0,3.914661904761905
15.4,4.5,43,22.0,24,E10,0,0,0,4.417583333333335
16.5,3.9,43,22.0,17,E10,0,0,0,3.8811142857142857
15.4,5.1,21,22.0,24,E10,0,0,0,5.1809154761904805
18.4,4.2,59,22.0,24,E10,0,0,0,4.288861904761904
39.5,4.2,58,22.0,25,E10,0,0,0,4.283478571428569
21.5,4.8,47,25.0,27,E10,1,0,1,4.411414285714286
4.8,4.7,26,25.0,18,E10,0,0,0,5.3215166666666684
100.9,4.7,87,23.5,22,E10,0,0,0,4.8092178571428565
129.7,4.6,58,24.0,21,E10,0,0,0,4.501326190476188
16.6,3.8,43,21.5,16,E10,0,0,0,4.167383333333332
15.4,4.2,50,21.5,21,E10,0,0,0,4.44114761904762
16.0,3.7,45,22.0,17,E10,0,0,0,3.8252023809523803
16.0,4.2,41,22.0,15,E10,0,0,0,4.072727777777779
15.4,4.1,45,22.0,24,E10,0,0,0,4.365742857142859
16.0,4.0,43,22.0,16,E10,0,0,0,3.9169063492063496
21.0,3.8,37,22.0,21,E10,0,0,0,3.952216666666668
15.4,3.8,47,22.0,24,E10,0,0,0,4.395076190476192
16.0,3.8,42,22.0,17,E10,0,0,0,3.844377380952381
16.1,5.1,30,25.0,16,E10,1,1,0,4.718327380952382
16.0,4.0,42,22.0,15,E10,0,0,0,4.01262777777778
15.4,4.8,40,22.0,18,E10,0,0,0,4.612851190476193
17.2,3.9,35,22.0,16,E10,0,0,0,4.13775
16.6,4.6,50,22.0,25,E10,0,0,0,4.317902380952382
18.3,4.3,46,22.0,16,SP98,0,0,0,4.179383333333334
16.1,4.8,36,22.0,18,SP98,0,1,0,4.476488095238093
16.0,4.1,46,22.0,17,SP98,0,0,0,3.946583333333332
16.3,4.0,35,22.0,23,SP98,0,0,0,4.073890476190474
16.0,3.7,44,22.0,16,SP98,0,0,0,3.8644690476190466
18.3,4.3,46,22.0,23,SP98,0,0,0,4.1846000000000005
4.5,5.2,23,22.0,23,SP98,0,0,1,5.281295238095239
17.0,4.2,48,22.0,16,SP98,0,0,0,4.114328571428572
6.1,5.0,35,24.5,18,SP98,0,0,0,4.642014285714286
6.1,5.0,33,22.0,24,SP98,0,0,1,4.697114285714285
17.3,4.2,36,22.0,22,SP98,0,0,0,4.164454761904762
6.0,4.8,27,22.0,17,SP98,0,0,0,5.027826190476192
16.0,4.1,45,22.0,15,SP98,0,0,0,4.014607142857143
15.4,4.9,55,22.0,18,SP98,0,0,0,4.635250000000002
15.4,4.3,39,22.0,23,SP98,0,0,0,4.428586904761905
16.0,3.9,35,22.0,18,SP98,0,0,0,4.004748015873014
15.4,4.5,52,22.0,26,SP98,0,0,0,4.5512000000000015
16.6,4.1,48,25.5,30,SP98,1,0,1,4.274077777777778
15.4,5.0,48,25.5,31,SP98,1,0,0,4.695794047619048
16.0,4.0,43,22.0,21,SP98,1,0,0,4.152474999999999
15.4,4.5,42,22.0,30,SP98,0,0,0,4.502935714285715
16.0,3.6,43,22.0,19,SP98,0,0,0,3.801123015873016
20.9,4.1,33,22.0,21,SP98,0,0,0,4.0907285714285715
32.1,3.9,47,22.0,26,SP98,0,0,0,3.99653611111111
15.3,6.6,16,24.0,27,SP98,1,0,0,5.417109523809526
28.5,4.0,44,25.0,23,SP98,1,0,0,4.140347619047619
11.9,3.7,33,25.0,19,SP98,0,0,0,4.133554761904761
14.5,4.3,36,25.0,22,SP98,0,0,0,4.174761904761903
16.6,4.1,49,22.0,26,SP98,0,0,1,4.052025396825398
16.2,4.4,39,24.5,17,SP98,1,0,0,4.311342857142858
16.7,3.8,44,24.5,23,SP98,0,0,1,3.9060107142857134
8.3,5.0,52,24.5,27,SP98,0,0,0,4.749600000000003
5.5,3.7,33,24.5,28,SP98,0,0,1,4.283314285714282
13.6,3.7,33,24.5,28,SP98,0,0,1,4.003090476190472
16.0,3.7,39,24.5,18,SP98,0,0,0,3.8543182539682537
16.1,4.3,38,25.0,31,SP98,1,0,0,4.351225
16.0,3.8,45,25.0,19,SP98,0,0,0,3.813457539682542
15.4,4.6,42,25.0,31,SP98,1,0,0,4.624846428571428
14.7,5.0,25,25.0,30,SP98,1,0,0,4.902500793650794
